systemloanid,loannumber,loanamount,termdays,interest,loan_interval,interest_interval,good_bad_flag,avg_loanamount,avg_paym_span_hrs,avg_active_span_days,avg_interest,max_loannumber,bank_name_clients,age,age_interval,state,customerid
301966557.0,0-4,10000.0,30,3000.0,10000,3000,Bad,10000.0,9.666666666666666,29.33333333333333,3000.0,3.0,Multinational Banks,47.0,41-61,Other,8a858eff5b393484015b394ef3281e60
301972473.0,+4,40000.0,30,4000.0,mas de 10000,mas de 3000,Bad,30666.666666666668,13.266666666666667,18.066666666666663,4293.333333333333,15.0,GT Bank,45.0,41-61,Lagos,8a858ebc572e1e3a015730850b3c727f
301967952.0,0-4,10000.0,Other,1500.0,10000,menos de 3000,Good,10000.0,17.0,11.5,1500.0,2.0,GT Bank,40.0,36-40,Other,8a858e685c174778015c17b6dcd62495
301962390.0,+4,40000.0,30,4000.0,mas de 10000,mas de 3000,Good,20000.0,11.0,20.90909090909091,2954.5454545454545,11.0,Multinational Banks,32.0,26-35,Other,8a858ff554d9de480154ddfe4f3773fb
301984019.0,0-4,10000.0,Other,1125.0,10000,menos de 3000,Good,10000.0,14.0,9.666666666666666,2500.0,3.0,Multinational Banks,37.0,36-40,Other,8a858fd05bfd7d3c015c0c8b72ce4682
301995431.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,14.5,14.5,3000.0,2.0,Multinational Banks,37.0,36-40,Other,8a858eda5c8863ff015c99a949894a7a
302001229.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,19.0,50.0,3000.0,1.0,Multinational Banks,39.0,36-40,Other,8a858f185c884965015c88a2cf95321c
301962756.0,0-4,10000.0,30,2500.0,10000,menos de 3000,Good,10000.0,19.0,36.0,3000.0,1.0,GT Bank,36.0,36-40,Lagos,8a858fca5c35df2c015c39f8efd26149
302000288.0,0-4,10000.0,30,3000.0,10000,3000,Bad,10000.0,6.0,29.0,3000.0,1.0,Multinational Banks,29.0,26-35,Lagos,8a858ea75cef5535015cf0dbda69796c
301970747.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,9.0,23.0,3000.0,1.0,Multinational Banks,31.0,26-35,Lagos,8a858ec55ca7919d015ca821f41f2ce1
301985984.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,4.0,31.0,3000.0,1.0,GT Bank,33.0,26-35,Lagos,8a858f1f5c834d4f015c84b2654f537b
301973176.0,0-4,10000.0,30,3000.0,10000,3000,Bad,10000.0,10.0,9.0,1500.0,1.0,GT Bank,35.0,26-35,Other,8a858e7d595026f8015959f2dcd67106
301987858.0,+4,20000.0,30,4500.0,mas de 10000,mas de 3000,Good,12500.0,14.0,13.5,2625.0,4.0,Multinational Banks,35.0,26-35,Lagos,8a858f265c2187bd015c346b5bb74ea9
301986954.0,0-4,10000.0,Other,1500.0,10000,menos de 3000,Good,10000.0,15.0,14.0,1500.0,1.0,GT Bank,29.0,26-35,Other,8a858e235be813f6015be9ec4cdf2666
301981301.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,14.5,27.5,3000.0,2.0,GT Bank,46.0,41-61,Lagos,8a858edb5bd936e4015bddd8e11a30e0
301970390.0,+4,30000.0,30,3000.0,mas de 10000,3000,Bad,18333.33333333333,11.11111111111111,19.77777777777778,3216.6666666666665,9.0,Multinational Banks,27.0,26-35,Other,8a858e1c56dfea870156f52d5ff70e20
301959651.0,+4,20000.0,30,4500.0,mas de 10000,mas de 3000,Good,11000.0,11.4,32.3,2630.0,12.0,GT Bank,34.0,26-35,Lagos,8a8189d152443f820152443f89500001
301964487.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,10.0,22.0,3000.0,1.0,GT Bank,42.0,41-61,Lagos,8a858edc5c7e7da5015c7f9b70d72be9
301989227.0,0-4,10000.0,Other,1500.0,10000,menos de 3000,Bad,10000.0,13.333333333333334,19.33333333333333,1500.0,3.0,GT Bank,43.0,41-61,Lagos,8a858f1e5aec5791015aecbc59413486
301973336.0,+4,30000.0,30,4500.0,mas de 10000,mas de 3000,Good,15000.0,0.8333333333333334,19.5,2508.333333333333,6.0,Multinational Banks,54.0,41-61,Other,8a858eee58c2b6220158c4d7791c1a49
301993544.0,+4,20000.0,30,4500.0,mas de 10000,mas de 3000,Good,12500.0,12.5,27.75,3375.0,4.0,GT Bank,41.0,41-61,Lagos,8a858f875afc0db0015aff2e9b207838
301961066.0,0-4,15000.0,Other,1687.5,mas de 10000,menos de 3000,Good,10000.0,21.0,15.666666666666666,2000.0,3.0,GT Bank,37.0,36-40,Other,8a858fe55b013a0b015b046604a1542a
301993663.0,0-4,10000.0,30,3000.0,10000,3000,Bad,10000.0,13.666666666666666,27.33333333333333,2500.0,3.0,GT Bank,41.0,41-61,Other,8a858f415ba54724015ba58d8b2029cc
301969004.0,0-4,10000.0,30,2500.0,10000,menos de 3000,Good,10000.0,5.0,25.0,3000.0,1.0,Multinational Banks,31.0,26-35,Lagos,8a858e6c5c88d145015c89430ef61a5d
301962790.0,+4,30000.0,30,4500.0,mas de 10000,mas de 3000,Good,14285.714285714286,13.571428571428571,24.857142857142858,3442.8571428571427,7.0,GT Bank,30.0,26-35,Other,8a858ed457a040d30157b40881a25091
301964962.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,17.0,15.0,1500.0,1.0,GT Bank,49.0,41-61,Lagos,8a858e135cb22031015cbafc76964ebd
301963417.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,4.0,17.0,1500.0,1.0,Multinational Banks,37.0,36-40,Other,8a858fe95c88ee44015c8c4043291900
301958904.0,+4,20000.0,30,4500.0,mas de 10000,mas de 3000,Good,11875.0,13.875,20.25,2381.25,8.0,Multinational Banks,28.0,26-35,Lagos,8a858e0156b782a10156c2f83bd248f2
302001639.0,+4,30000.0,30,4500.0,mas de 10000,mas de 3000,Good,21250.0,10.125,25.125,3237.5,8.0,GT Bank,34.0,26-35,Lagos,8a858f4156939c3c0156a2957b34644c
301983430.0,+4,10000.0,Other,1500.0,10000,menos de 3000,Bad,10000.0,9.333333333333334,28.666666666666668,2000.0,4.0,Multinational Banks,32.0,26-35,Other,8a8589a453bc422d0153c7d352751565
301973351.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,9.0,22.0,3000.0,1.0,GT Bank,38.0,36-40,Lagos,8a858f7a5ca22d3c015ca24d01461879
301979044.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,8.0,11.0,3000.0,1.0,GT Bank,44.0,41-61,Other,8a858eab5cf9c4c8015d094a5d9036d5
301995216.0,0-4,10000.0,Other,1500.0,10000,menos de 3000,Good,10000.0,7.0,14.0,1500.0,1.0,Multinational Banks,39.0,36-40,Lagos,8a858e335d1dd902015d2c79c1c6425b
302001736.0,0-4,10000.0,Other,1500.0,10000,menos de 3000,Good,10000.0,18.5,9.0,1500.0,2.0,GT Bank,45.0,41-61,Lagos,8a858f735c7cfc3c015c7d63275c4511
301995973.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,15.0,27.0,3000.0,1.0,Multinational Banks,39.0,36-40,Lagos,8a858f1955b1c4df0155cdbeafe97a3e
301993639.0,0-4,20000.0,30,4500.0,mas de 10000,mas de 3000,Good,10000.0,14.0,21.0,3000.0,2.0,GT Bank,34.0,26-35,Other,8a858fa45bd95e9a015bde4d41406ebf
301963058.0,+4,40000.0,30,4000.0,mas de 10000,mas de 3000,Good,26000.0,14.0,18.2,3275.0,10.0,Multinational Banks,44.0,41-61,Lagos,8a858e9156e137c6015705964f291996
301974631.0,+4,30000.0,30,4500.0,mas de 10000,mas de 3000,Good,13750.0,13.125,27.25,2825.0,8.0,Multinational Banks,36.0,36-40,Lagos,8a858e4f58b9f0b40158b9f4ff09011e
301972462.0,+4,10000.0,30,1500.0,10000,menos de 3000,Good,10000.0,14.333333333333334,13.833333333333334,1312.5,6.0,GT Bank,49.0,41-61,Lagos,8a858ef7599330e0015993a222542644
301967141.0,+4,20000.0,30,4500.0,mas de 10000,mas de 3000,Good,12500.0,9.75,27.25,3375.0,4.0,Multinational Banks,31.0,26-35,Lagos,8a858f2b5998268e01599c8bf5897815
301971016.0,+4,50000.0,30,2500.0,mas de 10000,menos de 3000,Good,30000.0,10.0,20.5,3742.857142857143,14.0,Multinational Banks,41.0,41-61,Lagos,8a858f0656b7820c0156c3e3a61c1d33
301985554.0,0-4,10000.0,Other,1500.0,10000,menos de 3000,Bad,10000.0,20.0,32.0,3000.0,1.0,Multinational Banks,29.0,26-35,Lagos,8a858f555cacacdf015cafb65d3e6608
301966582.0,+4,20000.0,30,4500.0,mas de 10000,mas de 3000,Good,12500.0,12.5,5.0,1593.75,4.0,Multinational Banks,42.0,41-61,Lagos,8a8588b75438f49901544510041e0951
301992201.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,14.5,26.5,3000.0,2.0,Multinational Banks,39.0,36-40,Lagos,8a858e0f5c45466f015c4a6560255de7
301983476.0,0-4,10000.0,Other,1500.0,10000,menos de 3000,Good,10000.0,14.0,0.0,1500.0,1.0,Multinational Banks,32.0,26-35,Other,8a858e5d57518f4601576a5b604c4adf
301967768.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,7.0,15.0,3000.0,1.0,Multinational Banks,37.0,36-40,Other,8a858ff45be92ea2015be98bc2162c96
301959335.0,+4,30000.0,30,4500.0,mas de 10000,mas de 3000,Good,16428.571428571428,13.571428571428571,21.285714285714285,2769.6428571428573,8.0,Multinational Banks,34.0,26-35,Other,8a858fd3552c75620155563fb5241458
301992833.0,+4,40000.0,Other,8000.0,mas de 10000,mas de 3000,Good,22500.0,9.8,25.9,3543.75,10.0,GT Bank,40.0,36-40,Lagos,8a85895054a061920154bc6d424318e0
301983198.0,0-4,10000.0,30,3000.0,10000,3000,Bad,10000.0,20.0,30.0,3000.0,1.0,Multinational Banks,32.0,26-35,Lagos,8a858f255cb1710a015cb624f45a277e
302001209.0,0-4,10000.0,Other,1500.0,10000,menos de 3000,Good,10000.0,14.0,24.0,3000.0,1.0,Multinational Banks,28.0,26-35,Other,8a858fe5569398920156b6f3848b4b76
301960954.0,+4,30000.0,30,4500.0,mas de 10000,mas de 3000,Good,18750.0,9.875,18.625,2918.75,8.0,Multinational Banks,36.0,36-40,Other,8a858fd1572b90090157371452df3711
301994890.0,+4,40000.0,Other,8000.0,mas de 10000,mas de 3000,Good,21000.0,11.6,20.4,2990.0,10.0,Multinational Banks,44.0,41-61,Other,8a858ee9587f44aa0158819464010aa4
301983895.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,16.0,31.5,3000.0,2.0,Multinational Banks,37.0,36-40,Other,8a858e705668e16701568d07718d6e1e
301974268.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,8.0,19.5,3000.0,2.0,Multinational Banks,36.0,36-40,Other,8a858e585beda464015bede9cc1023b2
302001094.0,+4,20000.0,30,3000.0,mas de 10000,3000,Good,15000.0,18.75,25.25,3750.0,4.0,GT Bank,37.0,36-40,Other,8a858eba5b681df4015b6e0c99d3697f
301977638.0,+4,20000.0,Other,2250.0,mas de 10000,menos de 3000,Bad,12857.142857142857,14.285714285714286,17.714285714285715,2142.8571428571427,7.0,Multinational Banks,27.0,26-35,Other,8a858e0256b781d80156c0e6c47c75e9
301977456.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,16.0,15.0,3000.0,1.0,Multinational Banks,34.0,26-35,Other,8a858fad5ccb633e015ccbe337372ab3
301975155.0,+4,30000.0,30,4500.0,mas de 10000,mas de 3000,Good,20000.0,14.555555555555555,14.77777777777778,3377.777777777778,9.0,Multinational Banks,33.0,26-35,Lagos,8a858fa15908043201592092ba4b5698
301966858.0,0-4,20000.0,30,4500.0,mas de 10000,mas de 3000,Good,10000.0,9.0,24.5,3000.0,2.0,GT Bank,56.0,41-61,Lagos,8a858e995bfc46c6015bfccf20b3451c
301997586.0,+4,30000.0,Other,9000.0,mas de 10000,mas de 3000,Good,18750.0,15.125,30.125,3937.5,9.0,GT Bank,41.0,41-61,Lagos,8a858ee755a0c84a0155b7028fea49b6
301962168.0,0-4,20000.0,30,4500.0,mas de 10000,mas de 3000,Good,10000.0,10.0,21.666666666666668,3000.0,3.0,GT Bank,40.0,36-40,Lagos,8a858eb25b5d2e82015b5d51be422bfa
302002417.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,7.0,10.0,1500.0,1.0,GT Bank,38.0,36-40,Other,8a858f1b5b9136f7015b96ba114d0c71
301977255.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,8.0,28.0,3000.0,2.0,Multinational Banks,44.0,41-61,Other,8a858f8f5bfd3cfa015c0cb3fc9139b2
301981843.0,+4,30000.0,Other,9000.0,mas de 10000,mas de 3000,Good,20000.0,12.625,31.875,3921.875,8.0,Multinational Banks,47.0,41-61,Other,8a858e8d56b784480156b7d232f723a8
302000284.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,10.0,18.0,3000.0,1.0,Multinational Banks,48.0,41-61,Other,8a858fb75cf4b2bd015cf799030e73c9
301995204.0,+4,30000.0,30,4500.0,mas de 10000,mas de 3000,Good,21666.666666666668,11.333333333333334,26.666666666666668,3616.6666666666665,6.0,Multinational Banks,48.0,41-61,Other,8a85886f543912e30154391ea6a3015f
301986775.0,+4,40000.0,30,4000.0,mas de 10000,mas de 3000,Good,25384.615384615383,14.538461538461538,17.384615384615383,3646.153846153846,13.0,Multinational Banks,28.0,26-35,Other,8a858e64586254230158665e299575fb
302001824.0,+4,30000.0,30,4500.0,mas de 10000,mas de 3000,Good,20833.33333333333,11.833333333333334,27.666666666666668,3758.3333333333335,6.0,Multinational Banks,32.0,26-35,Other,8a858fb15632196901564fd5a8be745b
301959053.0,+4,10000.0,30,3000.0,10000,3000,Bad,11875.0,15.25,11.125,2184.375,9.0,Multinational Banks,41.0,41-61,Other,8a858fff57d1af5d0157dc5a2dfc44bc
301971382.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,8.5,33.0,3000.0,2.0,Multinational Banks,38.0,36-40,Lagos,8a858e8457f7a42a0157fae7238c3d4c
301970883.0,+4,20000.0,30,4500.0,mas de 10000,mas de 3000,Good,12500.0,14.25,29.25,3375.0,4.0,Multinational Banks,39.0,36-40,Lagos,8a858edb5a70bfe0015a7ef6715642d0
301979337.0,0-4,10000.0,Other,1500.0,10000,menos de 3000,Good,10000.0,9.0,5.0,1500.0,1.0,Multinational Banks,39.0,36-40,Lagos,8a858fc75cd62882015ce3990b726a9b
301958862.0,+4,40000.0,30,4000.0,mas de 10000,mas de 3000,Good,26363.636363636364,11.090909090909092,30.63636363636364,4736.363636363636,11.0,Multinational Banks,40.0,36-40,Lagos,8a8588dc5384a05f01539af1485135ae
301978405.0,+4,30000.0,Other,9000.0,mas de 10000,mas de 3000,Bad,14000.0,13.0,22.2,3000.0,5.0,Multinational Banks,36.0,36-40,Other,8a858ff35af1c396015af1fc915018ca
301973345.0,0-4,10000.0,Other,1500.0,10000,menos de 3000,Good,10000.0,15.5,12.5,1500.0,2.0,GT Bank,32.0,26-35,Lagos,8a858e785c8d9167015c9b7982962ea1
301982565.0,+4,30000.0,30,4500.0,mas de 10000,mas de 3000,Good,16250.0,14.5,17.125,2112.5,8.0,Multinational Banks,43.0,41-61,Other,8a858f60562378450156250366f10f86
301968737.0,0-4,10000.0,Other,1500.0,10000,menos de 3000,Bad,10000.0,21.5,15.0,1500.0,2.0,Multinational Banks,35.0,26-35,Lagos,8a858e0f5c45466f015c546652e81026
301999840.0,0-4,10000.0,Other,1500.0,10000,menos de 3000,Bad,10000.0,20.0,19.0,1500.0,1.0,GT Bank,34.0,26-35,Other,8a858e6b5d1885ce015d1888318b0258
301999929.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,13.0,25.0,3000.0,1.0,Multinational Banks,32.0,26-35,Lagos,8a858f6c5bf84cd0015bf87db8561411
301965525.0,+4,40000.0,30,4000.0,mas de 10000,mas de 3000,Good,23750.0,14.5,10.916666666666666,2972.9166666666665,12.0,Multinational Banks,47.0,41-61,Other,8a858e5f5a41b97f015a4212766e2f84
301968229.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,14.0,24.0,3000.0,2.0,Multinational Banks,38.0,36-40,Lagos,8a858f375b493337015b56fbe1c0738e
301980073.0,0-4,10000.0,30,3000.0,10000,3000,Bad,10000.0,21.0,30.0,3000.0,1.0,GT Bank,44.0,41-61,Lagos,8a858f2e5c699f3a015c6e10b65607c9
301963103.0,0-4,10000.0,30,3000.0,10000,3000,Bad,10000.0,17.0,7.0,3000.0,1.0,Multinational Banks,37.0,36-40,Other,8a858e5b5ca767e1015caa30f3125abc
301972678.0,+4,30000.0,30,4500.0,mas de 10000,mas de 3000,Good,17142.85714285714,12.285714285714286,27.857142857142858,3442.8571428571427,7.0,GT Bank,34.0,26-35,Other,8a858ef258d4a48b0158e998c5794c1c
301972058.0,0-4,15000.0,30,3375.0,mas de 10000,mas de 3000,Bad,10000.0,12.0,28.0,3000.0,3.0,Multinational Banks,41.0,41-61,Other,8a858e245b680423015b7533a0a14d64
301995876.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,19.0,21.0,3000.0,1.0,GT Bank,48.0,41-61,Lagos,8a858f475c7ea023015c7ed3b27b0ccf
301962670.0,+4,40000.0,30,4000.0,mas de 10000,mas de 3000,Good,25000.0,11.8,20.4,3600.0,10.0,GT Bank,45.0,41-61,Other,8a858e705668e16701567ab4dc885164
301975016.0,+4,30000.0,30,4500.0,mas de 10000,mas de 3000,Good,20000.0,14.428571428571429,14.428571428571429,2578.5714285714284,8.0,Multinational Banks,41.0,41-61,Lagos,8a8588dc536a1413015381dd2a4f3c5f
302000118.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,16.0,15.0,1500.0,1.0,Multinational Banks,44.0,41-61,Lagos,8a858ea35d2d2f62015d309d53df2a01
301977627.0,+4,40000.0,Other,8000.0,mas de 10000,mas de 3000,Bad,24615.384615384617,13.846153846153848,27.0,4776.923076923077,13.0,GT Bank,40.0,36-40,Lagos,8a858eff55a090650155bca5bc8052e0
301997062.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,12.0,32.0,3000.0,2.0,Multinational Banks,32.0,26-35,Lagos,8a858e655a047d1a015a12bb060936ff
301981923.0,0-4,10000.0,Other,1500.0,10000,menos de 3000,Good,10000.0,14.0,20.0,3000.0,1.0,GT Bank,41.0,41-61,Other,8a858ea15ca2565c015ca5eab5a41571
301959955.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,10.0,13.0,1500.0,1.0,Multinational Banks,32.0,26-35,Other,8a858e445ca25ee3015ca2d9d82b2276
