customerid,bank_name_clients,age,state,age_interval
8a858ea4582fcdc80158338316a258e3,Multinational Banks,43,Other,41-61
8a858f3c5c16cadb015c177e274650b9,Multinational Banks,46,Other,41-61
8a858f2b5bf35819015bf3cc59193622,GT Bank,37,Other,36-40
8a858ec555f82a230155f92ff37d0b31,Multinational Banks,39,Other,36-40
8a858f255cb1710a015cb56393f60d1b,Multinational Banks,49,Lagos,41-61
8a858f6f5b3f095b015b4083532532a0,Multinational Banks,31,Lagos,26-35
8a858fa257d8223c0157e7e6ce253dd8,Multinational Banks,34,Other,26-35
8a858f335cd0c78e015cd435d7192800,GT Bank,41,Other,41-61
8a858953548fb0c001549b31ac5f6dda,Multinational Banks,37,Lagos,36-40
8a858eba5b681df4015b7b63e6ed6a23,Multinational Banks,34,Lagos,26-35
8a858f8e5986f510015987965aa9183a,Multinational Banks,43,Lagos,41-61
8a858ee55cb156e6015cb650b14467f0,Multinational Banks,27,Other,26-35
8a858f9157f7b9670157fa9d4e7546e0,Multinational Banks,48,Other,41-61
8a85883353d0c4e90153dfca251168bc,GT Bank,33,Other,26-35
8a858fa55acd8061015ad15eb8b47940,Multinational Banks,33,Other,26-35
8a8589a053acc39e0153b217f3d031cb,Multinational Banks,34,Other,26-35
8a858e2e5bb57a37015bbe3c1af53cac,GT Bank,33,Other,26-35
8a8588c9548a33b201548b3cdb0f0c53,GT Bank,33,Other,26-35
8a858e345bd96da8015bdcde39b37570,GT Bank,39,Other,36-40
8a858e0f5c45466f015c4a6560255de7,Multinational Banks,39,Lagos,36-40
8a858fe758dc437a0158e524adb32ae2,Multinational Banks,32,Other,26-35
8a858e185b4923b4015b4ae48d28646a,GT Bank,35,Lagos,26-35
8a858f725be8d4ff015bec5207ce5524,Multinational Banks,37,Other,36-40
8a858e2c5cc64f70015cc942825e71ae,GT Bank,37,Lagos,36-40
8a858fbd5cd6054a015cda2ad0aa086d,Multinational Banks,34,Other,26-35
8a858fba5cd5feee015cdb7d7d574f0f,GT Bank,49,Other,41-61
8a858fd85b685607015b75c2390b7173,Multinational Banks,35,Lagos,26-35
8a858fe8555f401f0155679de3f04eb4,GT Bank,35,Other,26-35
8a8589b953bc23f70153c887b4b45c9a,GT Bank,29,Lagos,26-35
8a858e935b496584015b496cdac50369,GT Bank,32,Lagos,26-35
8a858e1d5b2510b2015b2c76fe45726a,Multinational Banks,56,Other,41-61
8a76e7d443e6e97c0143ed0a1f4d5331,Multinational Banks,44,Lagos,41-61
8a8588bd5369b66d01536e7b60501609,Multinational Banks,43,Lagos,41-61
8a858f985b3db23f015b3ddf9cd73ed5,GT Bank,39,Lagos,36-40
8a858e6d5b252065015b2fa1ee3843da,GT Bank,37,Lagos,36-40
8a858f6e5a951fc2015a9e8c2e4f4436,Multinational Banks,47,Lagos,41-61
8a858e2d5bc95851015bc98eb8fc1575,GT Bank,36,Lagos,36-40
8a858f6057e2dba50157f3558ac902d4,GT Bank,36,Other,36-40
8a858e885c63d379015c730aa5f46f8b,Multinational Banks,38,Lagos,36-40
8a858e9156e137c601570b4d23a949fc,Multinational Banks,36,Other,36-40
8a858fd35b5dfefb015b5e18a7ee15aa,Multinational Banks,35,Lagos,26-35
8a858eea5c82f136015c82f59f3201c7,Multinational Banks,32,Other,26-35
8a858f305c8dd672015c9439eb1c6964,Multinational Banks,32,Other,26-35
8a858f7e5c69a6e3015c74334d791005,GT Bank,35,Lagos,26-35
8a858f8e597cf3f401598353f79a7171,Multinational Banks,32,Lagos,26-35
8a858e6a5bfd4b54015c067c589f44c6,GT Bank,49,Other,41-61
8a858fa257d8223c0157e3c2a5e45d82,GT Bank,31,Other,26-35
8a8589005384ab570153880ceba74594,GT Bank,43,Lagos,41-61
8a8588dc536a1413015375acd19d4154,GT Bank,32,Lagos,26-35
8a858e225c404292015c4f19fdfb148a,GT Bank,39,Lagos,36-40
8a858e865bd4175e015bd85ed8ed6940,GT Bank,30,Lagos,26-35
8a858f73594ab1ea01595e72de584bca,GT Bank,36,Other,36-40
8a858eb4588604f701589b300e2768ee,GT Bank,35,Other,26-35
8a858ff5562dc3b601562e96135108e3,Multinational Banks,27,Other,26-35
8a858fdc57b91cfc0157d2d576b01016,GT Bank,30,Lagos,26-35
8a858ef45cd09b8c015cd4d82f22728d,Multinational Banks,27,Lagos,26-35
8a858f1b5b256bc9015b2f7ff2d860fb,GT Bank,30,Other,26-35
8a858f725b49c0c0015b4de5320b0e90,GT Bank,37,Other,36-40
8a858fc75cd62882015ce0364fc515ca,Multinational Banks,40,Other,36-40
8a858e205af28299015af2acd2ff06a6,GT Bank,35,Lagos,26-35
8a858ed457a040d30157b40881a25091,GT Bank,30,Other,26-35
8a858f2a5b3f2121015b42331f955db2,GT Bank,31,Other,26-35
8a858e285ba4bf33015ba50277171d93,Multinational Banks,36,Other,36-40
8a858e225c404292015c4bc05b45616d,Multinational Banks,43,Other,41-61
8a858ee755a0c84a0155b50a08352311,GT Bank,44,Other,41-61
8a8588f754a058cb0154b922d7fe1ffd,Multinational Banks,39,Other,36-40
8a858f305c8dd672015c92b0711a3333,Multinational Banks,33,Lagos,26-35
8a858f7e5c886ca9015c89471cef5b44,Multinational Banks,33,Other,26-35
8a858e685c217d36015c2fedb165662b,GT Bank,33,Other,26-35
8a858f5d5963fbb701597473936c208a,GT Bank,37,Other,36-40
8a858fd85b685607015b70cf46b509b2,Multinational Banks,46,Lagos,41-61
8a858fa154e2912f01551033886c784b,GT Bank,33,Lagos,26-35
8a8588fd53f1099e01540ec7527b308c,Multinational Banks,42,Other,41-61
8a8588235384a58d0153a80649f43890,Multinational Banks,46,Lagos,41-61
8a858e415c5a2000015c5a85158e2fd3,GT Bank,34,Other,26-35
8a858f11594a388001595ad3f6c06395,Multinational Banks,29,Other,26-35
8a8588dd54a3ead30154ada314c44e09,GT Bank,42,Other,41-61
8a85886f54517ee0015470749d3c3ce7,GT Bank,37,Other,36-40
8a858e5856b7840c0156c2db475368e4,Multinational Banks,28,Other,26-35
8a858ee45beda286015befb09fca0d6f,GT Bank,35,Lagos,26-35
8a858e885c63d379015c682355b72343,GT Bank,41,Lagos,41-61
8a858f955cc6631f015ccabe708129ed,Multinational Banks,30,Other,26-35
8a858eda5c8863ff015c911534db43b8,Multinational Banks,37,Lagos,36-40
8a858e0256b781d80156d77deb7222b8,Multinational Banks,55,Lagos,41-61
8a858f1f5c834d4f015c85f0235d6562,GT Bank,45,Lagos,41-61
8a858fd45a4260bc015a469e3c74060a,Multinational Banks,28,Other,26-35
8a8589b953bc23f70153c871f9e25781,Multinational Banks,37,Other,36-40
8a8589b953bc23f70153c79a4b241b3d,GT Bank,35,Lagos,26-35
8a858f035ab947e3015abdb1094c6d45,GT Bank,31,Lagos,26-35
8a858f1f586c8fc801586cc4516e1b5c,Multinational Banks,40,Other,36-40
8a858fc65d138f01015d14ba1ceb685b,Multinational Banks,46,Lagos,41-61
8a858ef35d0cff86015d0d51923d2548,Multinational Banks,37,Lagos,36-40
8a858fe758dc437a0158eb12515362d4,GT Bank,36,Other,36-40
8a858e425d5c1d76015d5fd6a1004453,GT Bank,42,Lagos,41-61
8a858f74584a54aa015854d6e7027ac1,Multinational Banks,42,Other,41-61
8a858fca5c35df2c015c39ad8695343e,GT Bank,42,Other,41-61
8a858fe55656a93801565e0c6d4575d6,Multinational Banks,40,Other,36-40
8a8589f853f100fb015409cd02170e67,GT Bank,46,Other,41-61
8a858f5d5963fbb701596945e671298c,Multinational Banks,34,Lagos,26-35
8a858fee5863a049015864ec37223d8b,Multinational Banks,30,Other,26-35
8a858f305c8dd672015c9cc94b4c2adb,Multinational Banks,33,Lagos,26-35
8a8589b953bc23f70153ccc3fd3519c7,GT Bank,45,Other,41-61
8a858ebc5bd450fe015bd5375abb3175,GT Bank,30,Other,26-35
8a858fcf558237b401558b07734101d6,Multinational Banks,32,Lagos,26-35
8a858f98560bbe110156217f2b324081,GT Bank,29,Lagos,26-35
8a858f1b5b256bc9015b2f5280ff57dd,GT Bank,34,Other,26-35
8a858f9f5bd99987015be35f3b5730fe,GT Bank,39,Lagos,36-40
8a858ed55c63db54015c705c10a864c9,GT Bank,43,Other,41-61
8a858e595b42b641015b42bed45707ec,GT Bank,34,Lagos,26-35
8a858eda5984353b01598957192919d7,Multinational Banks,40,Other,36-40
8a858f0c57d3fe8e0157dcd14f854fb7,Multinational Banks,37,Other,36-40
8a8589d754a05c0a0154a492f1746b13,Multinational Banks,50,Other,41-61
8a8588f6548fb0c20154957369615d27,Multinational Banks,39,Lagos,36-40
8a858e035b62dff0015b63c73aba6d9a,Multinational Banks,39,Other,36-40
8a858fca5c35df2c015c39ad8695343e,GT Bank,42,Other,41-61
8a858e36590808e301592ae6ca1a0f3b,Multinational Banks,41,Other,41-61
8a858fc259d7378a0159da1f629a0741,GT Bank,39,Other,36-40
8a85890754145ace015429211b513e16,Multinational Banks,45,Other,41-61
8a858eaf570f3a0a01571e1288e00047,GT Bank,38,Other,36-40
8a858f505c7e3a50015c81f70ee35ff5,GT Bank,30,Other,26-35
8a858e51584a1fc70158595f611e49e6,Multinational Banks,48,Other,41-61
8a858e6a5bfd4b54015c0297d9ee75fb,Multinational Banks,42,Other,41-61
8a858e035693e02901569984732a33ea,Multinational Banks,38,Other,36-40
8a858e105bd92644015be762bf10576f,GT Bank,31,Lagos,26-35
8a8589045384bd8301539e05b3d35023,GT Bank,36,Lagos,36-40
8a858e285aa8cfc1015aa8fd90951f5a,Multinational Banks,45,Other,41-61
8a858ebb5a18039b015a183953ea16cc,GT Bank,36,Other,36-40
8a858e6f5668e01701567479d1ae3320,Multinational Banks,33,Lagos,26-35
8a858e2159f3c9030159f4336f1925f4,Multinational Banks,42,Other,41-61
8a858e135cb22031015cb7f9700e06f8,Multinational Banks,39,Other,36-40
8a858f54589736f401589857085e3b5b,Multinational Banks,30,Other,26-35
8a858e475c127bce015c1a358a222097,Multinational Banks,34,Lagos,26-35
8a858966538deb190153a3e3cce916e9,Multinational Banks,31,Lagos,26-35
8a858fcb5ca240f7015ca6656e972612,GT Bank,38,Other,36-40
8a858fe45cd62cbf015ce93a8a26355d,Multinational Banks,37,Other,36-40
8a858e885b68546c015b736088184034,GT Bank,34,Other,26-35
8a858f935ca09667015ca0ee3bc63f51,Multinational Banks,32,Other,26-35
8a858e495cef1ef1015cf16757660080,GT Bank,36,Lagos,36-40
8a858e235be813f6015be923ff0d621f,GT Bank,39,Lagos,36-40
8a858ea35a5b46ec015a5d1596805e48,GT Bank,34,Lagos,26-35
8a858f5c5bfc7082015bfc91ab1c169b,Multinational Banks,37,Lagos,36-40
8a858faf55d95d930155db6ec1274592,Multinational Banks,29,Lagos,26-35
8a858edf594a45ed01594bd668493b10,Multinational Banks,39,Lagos,36-40
8a858fa25c120898015c16abe1cb45f4,Multinational Banks,48,Other,41-61
8a858f5e5cf45779015cf47ed8db1872,GT Bank,31,Other,26-35
8a858e335d1dd902015d2c79c1c6425b,Multinational Banks,39,Lagos,36-40
8a858eba5c884d2a015c887b946e2236,Multinational Banks,45,Other,41-61
8a858e425700714c015700c9da261e46,GT Bank,45,Lagos,41-61
8a858fb15b34a708015b37eeb86e0008,Multinational Banks,44,Lagos,41-61
8a858fd75ba49873015ba4e0e0881d32,Multinational Banks,47,Lagos,41-61
8a858f1f58716185015877272a5b5d18,Multinational Banks,35,Other,26-35
8a858fd85b685607015b75bab2977053,GT Bank,40,Lagos,36-40
8a858f8e5d0dc74e015d0de015760ef2,GT Bank,33,Other,26-35
8a858ed159fabcd30159fb47c7062202,GT Bank,47,Other,41-61
8a858f74584a54aa015862440ad90e4d,GT Bank,46,Lagos,41-61
8a858f955a61ad4e015a669234707a25,GT Bank,33,Lagos,26-35
8a858f25584470aa015852a3fee27b75,Multinational Banks,30,Other,26-35
8a85889853f0fbaa0153f22d15cc4a8b,GT Bank,53,Other,41-61
8a858ef258d4a48b0158dac227745fc0,GT Bank,28,Other,26-35
8a858f465668e3d60156731df06205ef,GT Bank,31,Other,26-35
8a858e195b90e512015b99fbb1dc677a,GT Bank,34,Other,26-35
8a858e6f5668e0170156849effb35b01,Multinational Banks,45,Lagos,41-61
8a858f2c5ca72bae015ca8b479831073,Multinational Banks,31,Other,26-35
8a858f1554e294490154f1aed36c042f,Multinational Banks,42,Other,41-61
8a858e345bd96da8015bdf75f0096214,Multinational Banks,36,Lagos,36-40
8a858e1d5cd58f9e015ce109b14c577e,GT Bank,32,Other,26-35
8a858fc959cbd1500159cf7081f02d60,Multinational Banks,37,Other,36-40
8a858f5f5a3d03ab015a3ebc0fd0071d,GT Bank,47,Lagos,41-61
8a858ff455a09f5a0155aaa450751528,GT Bank,29,Lagos,26-35
8a858e495cef1ef1015cf07cc48170e6,Multinational Banks,38,Lagos,36-40
8a858f4c5bb597f6015bc01898fd0584,GT Bank,38,Lagos,36-40
8a858f0f5bfd79d2015c08e9cd6269a1,Multinational Banks,38,Lagos,36-40
8a858e1b59fa11590159fa2239010639,Multinational Banks,30,Lagos,26-35
8a858e3e5b3ee747015b3ee854f7012f,GT Bank,43,Other,41-61
8a858faf5c5ec14b015c5efb738127a6,GT Bank,41,Other,41-61
8a858ef7599330e0015993c3e1af2ecc,Multinational Banks,43,Lagos,41-61
8a858ec55ca7919d015caa963ddc6e81,Multinational Banks,43,Other,41-61
8a858e705b3a03c7015b3b10e6ae5eda,Multinational Banks,38,Other,36-40
8a858fcd56b9f22c0156d01a97452dcb,GT Bank,29,Lagos,26-35
8a858fe8555f401f015567a0cca24f03,GT Bank,30,Other,26-35
8a858f295c8d307f015c9e4f9b771eed,Multinational Banks,40,Lagos,36-40
8a858ffa55ca72a50155e936d7ad5bf5,Multinational Banks,48,Other,41-61
8a858f4f5511dca2015516c435bf3d6a,Multinational Banks,38,Lagos,36-40
8a858ed75bc9016e015bcd6b0f6b5069,GT Bank,41,Lagos,41-61
8a858e69566ae5b8015684f4642c1f37,GT Bank,33,Lagos,26-35
8a858f1b5a601b5a015a609f5b984127,Multinational Banks,32,Other,26-35
8a858fa4552add9f01553ae253297cb7,GT Bank,33,Other,26-35
8a8588fd53c244bc0153c74fad72587f,Multinational Banks,50,Lagos,41-61
8a858e615c832be8015c86f0d1082a70,GT Bank,50,Lagos,41-61
8a858f965bb63a25015bc22b915e62f1,Multinational Banks,27,Other,26-35
8a858f225bfdb280015c0e31ce624cd8,Multinational Banks,29,Other,26-35
8a858f615623747d015626ec13826718,GT Bank,35,Lagos,26-35
8a85898a53d0af400153d7dc5cc22b9f,GT Bank,30,Other,26-35
8a858fab5b9105dc015ba13ec2a57a0a,GT Bank,40,Lagos,36-40
8a858f305c8dd672015c9b7a60f96231,Multinational Banks,49,Other,41-61
8a858e035693e02901569484c15f3bf1,Multinational Banks,42,Other,41-61
8a858f9d5a8a79c5015a8baaaafb7213,Multinational Banks,38,Lagos,36-40
8a858e905ce98e8d015ce9cfdf3f2053,Multinational Banks,33,Lagos,26-35
8a858e64586254230158665e299575fb,Multinational Banks,28,Other,26-35
8a858f1b5ab8c83d015ab8c890820023,Multinational Banks,35,Lagos,26-35
8a858f265c1c393e015c1e2abc1146aa,Multinational Banks,34,Other,26-35
8a858fed5cabd3a0015cabd44ace0079,Multinational Banks,36,Other,36-40
8a858fab5cd5e1a7015cd624bb8b1f08,Multinational Banks,48,Other,41-61
8a858e7b55deef140155e587fc3b63ba,GT Bank,43,Lagos,41-61
8a858eda5c8863ff015c889d784b197f,Multinational Banks,45,Lagos,41-61
8a858fe8555f401f01555f4a125f01ac,Multinational Banks,28,Lagos,26-35
8a858e985ccb51e8015ccb62ac37072a,Multinational Banks,44,Lagos,41-61
8a858ffd5c8d343d015c98e84c9c2a13,Multinational Banks,46,Other,41-61
8a858eba5c884d2a015c96f9eed0608d,GT Bank,43,Lagos,41-61
8a858f0b5b439ebb015b43cf463d3e39,Multinational Banks,34,Other,26-35
8a858899538ddb8e01539893f3b86ee7,GT Bank,33,Other,26-35
8a858e245c214660015c2a00339953d3,Multinational Banks,37,Other,36-40
8a858e245c214660015c2c27234403a9,Multinational Banks,42,Other,41-61
8a858fa257d8223c0157d8a5a7197d2b,Multinational Banks,35,Other,26-35
8a8588235375c27f01537601102f108c,Multinational Banks,48,Lagos,41-61
8a858f98560bbe11015611ef84820b47,GT Bank,41,Lagos,41-61
8a858f555cc65d60015cc8c9b8a84631,GT Bank,43,Lagos,41-61
8a8589b7535abdb201535beac38a2006,GT Bank,53,Other,41-61
8a858f595ccb6f86015cced9f57a03d6,Multinational Banks,39,Other,36-40
8a858f585a6a60cc015a6a8d08ab1e9e,Multinational Banks,41,Other,41-61
8a858f795896e56b0158972775f12556,Multinational Banks,31,Lagos,26-35
8a858edd57f790040157ffe9b6ed3fbb,Multinational Banks,34,Other,26-35
8a858fc55b2fde30015b300d85e20ef2,Multinational Banks,32,Other,26-35
8a858eab5cf9c4c8015d0c94428b2976,Multinational Banks,35,Other,26-35
8a858fa45bd95e9a015be40e410c1ad4,GT Bank,40,Lagos,36-40
8a858f8d5b632706015b65e38374135f,GT Bank,39,Other,36-40
8a858fa05cf48427015cf87f3c491e8b,GT Bank,34,Lagos,26-35
8a858ff35acdd593015acf094819393e,GT Bank,39,Other,36-40
8a85889853f0fbaa01540f0d556f0ec3,Multinational Banks,52,Other,41-61
8a858f1955b1c4df0155bc7e4d2773e1,Multinational Banks,40,Lagos,36-40
8a8589da5410287f01541a012bf23abb,GT Bank,28,Lagos,26-35
8a858eac5ad81473015ad8f0682934f3,Multinational Banks,29,Lagos,26-35
8a858f6f5b3f095b015b420385286ad0,GT Bank,46,Lagos,41-61
8a858fe7568ed7420156920bff565cc7,Multinational Banks,42,Other,41-61
8a85892854be331a0154c7f8abdb669b,Multinational Banks,31,Lagos,26-35
8a858fb959976ce001599c31ae157981,Multinational Banks,35,Other,26-35
8a858ee25b34d796015b3562b4bb4ad4,Multinational Banks,30,Lagos,26-35
8a858f8a5a424041015a467fa9ea3240,Multinational Banks,36,Other,36-40
8a858f785cea234f015cea434e0a09e6,GT Bank,36,Lagos,36-40
8a858966538deb190153a7e5cb937e06,GT Bank,38,Other,36-40
8a858e365c16bcef015c16d0f1a50a32,GT Bank,41,Other,41-61
8a858e6956939bac015695667dc84376,Multinational Banks,35,Lagos,26-35
8a858eef5554890501556a2471a71e26,Multinational Banks,36,Lagos,36-40
8a858ee05a6b7d75015a704d99b22ed7,GT Bank,33,Other,26-35
8a858f6e5cb16eb9015cba9514502da3,Multinational Banks,36,Other,36-40
8a858f3e589c40610158b48a71b430d3,GT Bank,38,Lagos,36-40
8a858f6a5d1e09b3015d2b9c63ee790e,Multinational Banks,42,Lagos,41-61
8a858f955775750801577ba5e370562e,GT Bank,44,Lagos,41-61
8a858f975c4582c4015c4a3c945e2599,GT Bank,35,Other,26-35
8a858fa25cfa127c015d0701d6ad4f46,Multinational Banks,39,Lagos,36-40
8a8589a453bc422d0153c993db2604b6,Multinational Banks,35,Other,26-35
8a858f5856373f8801563b682f941356,GT Bank,35,Lagos,26-35
8a858fbb5bf26814015bf27f571811dd,Multinational Banks,42,Lagos,41-61
8a858e3e5922ba43015960f173140164,Multinational Banks,42,Other,41-61
8a858f60560bc43d015612f6e11767d6,Multinational Banks,48,Lagos,41-61
8a858f9b5a42e52f015a45ea99c56a99,Multinational Banks,30,Other,26-35
8a858e42570314e00157062a120e6345,GT Bank,36,Lagos,36-40
8a85887d53675f4f015379a44783264e,Multinational Banks,48,Lagos,41-61
8a858fa459e0a1340159e1f07d045910,Multinational Banks,36,Lagos,36-40
8a858f6057e2dba50157edb735e75aaf,Multinational Banks,35,Other,26-35
8a858ff85bd93919015be27b9f421e8b,GT Bank,40,Lagos,36-40
8a858f365c83961c015c87a053cb5b39,Multinational Banks,51,Other,41-61
8a858f3a58a6d6720158b0d75ed070f2,Multinational Banks,40,Lagos,36-40
8a858fdb5b8094e2015b80ac5cd70f9f,Multinational Banks,32,Other,26-35
8a858ec75bfd77c4015bff1610173ed1,Multinational Banks,43,Lagos,41-61
8a858e0256b781d80156c257b79f0ac0,GT Bank,39,Lagos,36-40
8a858ed45c454c11015c505b357c147d,GT Bank,40,Lagos,36-40
8a858eba5591bf280155987d3c73182f,Multinational Banks,40,Lagos,36-40
8a858e505baa530d015baa644c9b0d58,GT Bank,35,Other,26-35
8a858fa3552ae1120155398656a154c3,GT Bank,43,Lagos,41-61
8a858e165b90faf9015b9ed99b3e0c2d,Multinational Banks,48,Lagos,41-61
8a858f355ac88945015aca084ee050c2,Multinational Banks,34,Lagos,26-35
8a858f3a58b5b0fe0158b6ca51f756ce,Multinational Banks,30,Other,26-35
8a858f475c11bc72015c131399ff0768,GT Bank,35,Other,26-35
8a858f335cd0c78e015cd10d78b316c0,Multinational Banks,35,Lagos,26-35
8a858ee758b4c54a0158cafdc6c6740f,GT Bank,40,Lagos,36-40
8a8588f35451808f015475d4e4432f4f,Multinational Banks,33,Other,26-35
8a858e215c7de5f2015c81ce4f5e4902,GT Bank,40,Other,36-40
8a858e395cb1d4d9015cc067ecea501f,Multinational Banks,52,Other,41-61
8a858e5d5bf3454f015bf4ff33845406,Multinational Banks,42,Lagos,41-61
8a858e6a5cc6b1aa015cc922395235a0,Multinational Banks,33,Other,26-35
8a85886f543912e301544f65621c2e9f,Multinational Banks,32,Lagos,26-35
8a858ecd57b919a70157c8398b5d5300,Multinational Banks,45,Other,41-61
8a858e495d1e235c015d2218c8ef60b2,Multinational Banks,33,Other,26-35
8a858e6f5cd5e874015cd6bbd4f83158,Multinational Banks,34,Lagos,26-35
8a858ec25a4d1d16015a4d40078b0a73,GT Bank,27,Other,26-35
8a858899538ddb8e01539483a5c32d6a,Multinational Banks,44,Lagos,41-61
8a858ee45b39aa80015b3b1a1d600f18,GT Bank,38,Lagos,36-40
8a858e485cc0eed3015cc5416e6e71b8,Multinational Banks,40,Other,36-40
8a858f955cc6631f015cc9eb86fe4679,GT Bank,33,Lagos,26-35
8a858e605d3c7ec7015d3c8f538c07d2,GT Bank,54,Lagos,41-61
8a858f3455a0d8070155b6c6fdd05de2,GT Bank,50,Other,41-61
8a858e205c21d53a015c32394c2162f8,GT Bank,48,Lagos,41-61
8a858fc55bf27347015bf2a538491b80,Multinational Banks,41,Lagos,41-61
8a858fe756939bbb0156993f3dda2d08,Multinational Banks,44,Lagos,41-61
8a858e5b5ca767e1015cabb669de1afd,Multinational Banks,40,Lagos,36-40
8a858eee58c2b6220158c4d7791c1a49,Multinational Banks,54,Other,41-61
8a858f5b5bee1b11015beeff2cfe4d3a,GT Bank,40,Other,36-40
8a858e0a5668e69c01567fd20d2f6854,GT Bank,41,Other,41-61
8a858f055d0e3d8c015d11d2a91e4d09,Multinational Banks,32,Lagos,26-35
8a858e495bf8527e015bf8e8db823e98,Multinational Banks,39,Other,36-40
8a858e185b4923b4015b536354895cae,GT Bank,37,Lagos,36-40
8a858f2e5b81c373015b83d7c16b7392,Multinational Banks,42,Lagos,41-61
8a858faf5679a83801567ddf6bda6af7,GT Bank,44,Other,41-61
8a858fe55b013a0b015b046604a1542a,GT Bank,37,Other,36-40
8a858ece5cd05041015cd14579177593,Multinational Banks,35,Other,26-35
8a858e5a5a0477db015a100e94100351,GT Bank,29,Other,26-35
8a858fb557330de1015750e05ade4eb8,Multinational Banks,32,Other,26-35
8a858e85598cd81601598fc650e251e3,GT Bank,35,Other,26-35
8a858fd85507735701550d603b101f21,Multinational Banks,34,Other,26-35
8a858f865ceebc32015ceec592880a08,GT Bank,52,Lagos,41-61
8a858f445a4c929e015a4ca09cf50f44,GT Bank,41,Other,41-61
8a858f0056b7cf8e0156b9bfbb2066fd,GT Bank,45,Lagos,41-61
8a858e245b680423015b6ced9fa8358f,Multinational Banks,41,Other,41-61
8a8588fd53c244bc0153c7b2842d093b,GT Bank,31,Other,26-35
8a858f0656b7820c0156c59a540644cd,Multinational Banks,52,Lagos,41-61
8a858f585a6bfa1d015a6f8b2d582fb9,GT Bank,35,Other,26-35
8a858eef5554890501556d6c58e46b34,Multinational Banks,32,Other,26-35
8a858f7b5ca7abe3015cab4166a26278,Multinational Banks,42,Lagos,41-61
8a858eac5ad81473015ad8d9a28031cf,Multinational Banks,47,Other,41-61
8a8589a453bc422d0153c752246a54c1,GT Bank,42,Other,41-61
8a858e6c5c88d145015c9caa6c0f328c,Multinational Banks,35,Lagos,26-35
8a858e705668e16701567ab4dc885164,GT Bank,45,Other,41-61
8a858e8a5c1c14b8015c1d9847f24af8,Multinational Banks,33,Other,26-35
8a858f9d5afc0a16015afc552c271b88,GT Bank,41,Lagos,41-61
8a858e5b5c1a43c1015c1a8921c11694,GT Bank,41,Lagos,41-61
8a858e4f5929c3df01592ae551cb10f2,Multinational Banks,42,Other,41-61
8a858eff5b393484015b394ef3281e60,Multinational Banks,47,Other,41-61
8a858e045cd5b1d6015ce3fef2ef0ee4,Multinational Banks,34,Lagos,26-35
8a858e8a5ca0f59d015ca1736eef3cb3,Multinational Banks,53,Other,41-61
8a858edb5b8210eb015b854c86cf1a6d,Multinational Banks,47,Lagos,41-61
