customerid,bank_account_type,bank_name_clients,employment_status_clients,age,state
8a858f8e5986f510015987965aa9183a,Savings,Multinational Banks,Permanent,41-61,Lagos
8a858ee55cb156e6015cb650b14467f0,Savings,Multinational Banks,Other,26-35,Other
8a858f9157f7b9670157fa9d4e7546e0,Other,Multinational Banks,Permanent,41-61,Other
8a85883353d0c4e90153dfca251168bc,Other,GT Bank,Other,26-35,Other
8a858fa55acd8061015ad15eb8b47940,Savings,Multinational Banks,Permanent,26-35,Other
8a8589a053acc39e0153b217f3d031cb,Other,,Permanent,26-35,Other
8a858e2e5bb57a37015bbe3c1af53cac,Savings,GT Bank,Permanent,26-35,Other
8a8588c9548a33b201548b3cdb0f0c53,Savings,GT Bank,Permanent,26-35,Other
8a858e345bd96da8015bdcde39b37570,Savings,GT Bank,,36-40,Other
8a858e0f5c45466f015c4a6560255de7,Savings,Multinational Banks,Permanent,36-40,Lagos
8a858fe758dc437a0158e524adb32ae2,Savings,Multinational Banks,Permanent,26-35,Other
8a858e185b4923b4015b4ae48d28646a,Savings,GT Bank,Permanent,26-35,Lagos
8a858f725be8d4ff015bec5207ce5524,Savings,Multinational Banks,Permanent,36-40,Other
8a858e2c5cc64f70015cc942825e71ae,Savings,GT Bank,Permanent,36-40,Lagos
8a858fbd5cd6054a015cda2ad0aa086d,Savings,Multinational Banks,Permanent,26-35,Other
8a858fba5cd5feee015cdb7d7d574f0f,Savings,GT Bank,Permanent,41-61,Other
8a858fd85b685607015b75c2390b7173,Savings,Multinational Banks,,26-35,Lagos
8a858fe8555f401f0155679de3f04eb4,Other,GT Bank,Permanent,26-35,Other
8a8589b953bc23f70153c887b4b45c9a,Other,GT Bank,Permanent,26-35,Lagos
8a858e935b496584015b496cdac50369,Savings,GT Bank,Permanent,26-35,Lagos
8a858e1d5b2510b2015b2c76fe45726a,Savings,Multinational Banks,,41-61,Other
8a76e7d443e6e97c0143ed0a1f4d5331,Other,Multinational Banks,Permanent,41-61,Lagos
8a8588bd5369b66d01536e7b60501609,Other,Multinational Banks,Permanent,41-61,Lagos
8a858f985b3db23f015b3ddf9cd73ed5,Savings,GT Bank,Permanent,36-40,Lagos
8a858eae5c356262015c35894b181c1b,Savings,National Banks,Permanent,36-40,Other
8a858e6d5b252065015b2fa1ee3843da,Savings,GT Bank,,36-40,Lagos
8a858f6e5a951fc2015a9e8c2e4f4436,Savings,Multinational Banks,Permanent,41-61,Lagos
8a858e2d5bc95851015bc98eb8fc1575,Savings,GT Bank,,36-40,Lagos
8a858f6057e2dba50157f3558ac902d4,Other,GT Bank,Other,36-40,Other
8a858e885c63d379015c730aa5f46f8b,Savings,Multinational Banks,Permanent,36-40,Lagos
8a858e9156e137c601570b4d23a949fc,Other,Multinational Banks,Other,36-40,Other
8a858fd35b5dfefb015b5e18a7ee15aa,Savings,Multinational Banks,Permanent,26-35,Lagos
8a858eea5c82f136015c82f59f3201c7,Savings,Multinational Banks,,26-35,Other
8a858f305c8dd672015c9439eb1c6964,Savings,Multinational Banks,,26-35,Other
8a858f7e5c69a6e3015c74334d791005,Savings,GT Bank,Permanent,26-35,Lagos
8a858f8e597cf3f401598353f79a7171,Savings,Multinational Banks,Permanent,26-35,Lagos
8a858e6a5bfd4b54015c067c589f44c6,Savings,GT Bank,,41-61,Other
8a858fa257d8223c0157e3c2a5e45d82,Other,GT Bank,Permanent,26-35,Other
8a8589005384ab570153880ceba74594,Other,GT Bank,Permanent,41-61,Lagos
8a8588dc536a1413015375acd19d4154,Savings,GT Bank,Permanent,26-35,Lagos
8a858e225c404292015c4f19fdfb148a,Savings,GT Bank,Permanent,36-40,Lagos
8a858e865bd4175e015bd85ed8ed6940,Savings,GT Bank,Permanent,26-35,Lagos
8a858f73594ab1ea01595e72de584bca,Savings,GT Bank,Permanent,36-40,Other
8a858eb4588604f701589b300e2768ee,Savings,GT Bank,Permanent,26-35,Other
8a858ff5562dc3b601562e96135108e3,Other,Multinational Banks,Other,26-35,Other
8a858fdc57b91cfc0157d2d576b01016,Savings,GT Bank,Other,26-35,Lagos
8a858ef45cd09b8c015cd4d82f22728d,Savings,Multinational Banks,Permanent,26-35,Lagos
8a858f1b5b256bc9015b2f7ff2d860fb,Savings,GT Bank,Permanent,26-35,Other
8a858f725b49c0c0015b4de5320b0e90,Savings,GT Bank,Other,36-40,Other
8a858fc75cd62882015ce0364fc515ca,Savings,Multinational Banks,Permanent,36-40,Other
8a858e205af28299015af2acd2ff06a6,Other,GT Bank,Permanent,26-35,Lagos
8a858ed457a040d30157b40881a25091,Other,GT Bank,Permanent,26-35,Other
8a858f2a5b3f2121015b42331f955db2,Savings,GT Bank,Permanent,26-35,Other
8a858e285ba4bf33015ba50277171d93,Other,Multinational Banks,Permanent,36-40,Other
8a858e225c404292015c4bc05b45616d,Savings,Multinational Banks,Permanent,41-61,Other
8a858ee755a0c84a0155b50a08352311,Other,GT Bank,Permanent,41-61,Other
8a8588f754a058cb0154b922d7fe1ffd,Other,Multinational Banks,Permanent,36-40,Other
8a858f305c8dd672015c92b0711a3333,Savings,Multinational Banks,Permanent,26-35,Lagos
8a858f7e5c886ca9015c89471cef5b44,Savings,Multinational Banks,Permanent,26-35,Other
8a858e685c217d36015c2fedb165662b,Savings,GT Bank,Permanent,26-35,Other
8a858f5d5963fbb701597473936c208a,Savings,GT Bank,Permanent,36-40,Other
8a858fd85b685607015b70cf46b509b2,Savings,Multinational Banks,Permanent,41-61,Lagos
8a858fa154e2912f01551033886c784b,Savings,GT Bank,Permanent,26-35,Lagos
8a858e5357d823010157ddcb238e0d02,Other,National Banks,Permanent,26-35,Other
8a8588fd53f1099e01540ec7527b308c,Savings,Multinational Banks,Permanent,41-61,Other
8a858eba5c884d2a015c8bea59385157,Savings,National Banks,Permanent,36-40,Lagos
8a8588235384a58d0153a80649f43890,Other,Multinational Banks,Permanent,41-61,Lagos
8a858e415c5a2000015c5a85158e2fd3,Savings,GT Bank,,26-35,Other
8a858f11594a388001595ad3f6c06395,Savings,Multinational Banks,,26-35,Other
8a8588dd54a3ead30154ada314c44e09,Other,GT Bank,Permanent,41-61,Other
8a85886f54517ee0015470749d3c3ce7,Other,GT Bank,Other,36-40,Other
8a858e5856b7840c0156c2db475368e4,Other,Multinational Banks,Other,26-35,Other
8a858eda552adcc2015553a6385628e7,Savings,National Banks,Permanent,26-35,Lagos
8a858ee45beda286015befb09fca0d6f,Savings,GT Bank,,26-35,Lagos
8a858e885c63d379015c682355b72343,Savings,GT Bank,Permanent,41-61,Lagos
8a858f955cc6631f015ccabe708129ed,Savings,Multinational Banks,,26-35,Other
8a858eda5c8863ff015c911534db43b8,Savings,Multinational Banks,Permanent,36-40,Lagos
8a858e0256b781d80156d77deb7222b8,Other,Multinational Banks,Other,41-61,Lagos
8a858f1f5c834d4f015c85f0235d6562,Savings,GT Bank,,41-61,Lagos
8a858fd45a4260bc015a469e3c74060a,Savings,Multinational Banks,Permanent,26-35,Other
8a8589b953bc23f70153c871f9e25781,Savings,Multinational Banks,Permanent,36-40,Other
8a8589b953bc23f70153c79a4b241b3d,Other,GT Bank,Permanent,26-35,Lagos
8a858f035ab947e3015abdb1094c6d45,Savings,GT Bank,Permanent,26-35,Lagos
8a858f1f586c8fc801586cc4516e1b5c,Savings,Multinational Banks,Permanent,36-40,Other
8a858fc65d138f01015d14ba1ceb685b,Savings,Multinational Banks,,41-61,Lagos
8a858ef35d0cff86015d0d51923d2548,Savings,Multinational Banks,Permanent,36-40,Lagos
8a858fe758dc437a0158eb12515362d4,Savings,GT Bank,,36-40,Other
8a858e425d5c1d76015d5fd6a1004453,Savings,GT Bank,,41-61,Lagos
8a858f74584a54aa015854d6e7027ac1,Other,Multinational Banks,Permanent,41-61,Other
8a858fca5c35df2c015c39ad8695343e,Savings,GT Bank,Permanent,41-61,Other
8a858ffe5ab2b16a015ab3180c915303,Savings,National Banks,Permanent,36-40,Lagos
8a858fe55656a93801565e0c6d4575d6,Other,Multinational Banks,Permanent,36-40,Other
8a8589f853f100fb015409cd02170e67,Savings,GT Bank,Permanent,41-61,Other
8a858f5d5963fbb701596945e671298c,Savings,Multinational Banks,Permanent,26-35,Lagos
8a858ea75ba01fdf015ba4313c283d37,Savings,National Banks,,41-61,Other
8a858fee5863a049015864ec37223d8b,Savings,Multinational Banks,Permanent,26-35,Other
8a858f305c8dd672015c9cc94b4c2adb,Savings,Multinational Banks,Permanent,26-35,Lagos
8a8589b953bc23f70153ccc3fd3519c7,Savings,GT Bank,Permanent,41-61,Other
8a858ebc5bd450fe015bd5375abb3175,Savings,GT Bank,,26-35,Other
8a858fcf558237b401558b07734101d6,Other,Multinational Banks,Other,26-35,Lagos
8a858f98560bbe110156217f2b324081,Other,GT Bank,Other,26-35,Lagos
8a858f1b5b256bc9015b2f5280ff57dd,Savings,GT Bank,Permanent,26-35,Other
8a858f9f5bd99987015be35f3b5730fe,Savings,GT Bank,,36-40,Lagos
8a858ed55c63db54015c705c10a864c9,Savings,GT Bank,Permanent,41-61,Other
8a858e595b42b641015b42bed45707ec,Savings,GT Bank,Permanent,26-35,Lagos
8a858eda5984353b01598957192919d7,Savings,Multinational Banks,Permanent,36-40,Other
8a858f0c57d3fe8e0157dcd14f854fb7,Savings,Multinational Banks,Permanent,36-40,Other
8a8589d754a05c0a0154a492f1746b13,Savings,Multinational Banks,Permanent,41-61,Other
8a8588f6548fb0c20154957369615d27,Savings,Multinational Banks,Other,36-40,Lagos
8a858e035b62dff0015b63c73aba6d9a,Savings,Multinational Banks,Permanent,36-40,Other
8a858fca5c35df2c015c39ad8695343e,Savings,GT Bank,Permanent,41-61,Other
8a858e36590808e301592ae6ca1a0f3b,Savings,Multinational Banks,Permanent,41-61,Other
8a858fc259d7378a0159da1f629a0741,Savings,GT Bank,Permanent,36-40,Other
8a85890754145ace015429211b513e16,Savings,Multinational Banks,Permanent,41-61,Other
8a858eaf570f3a0a01571e1288e00047,Other,GT Bank,Permanent,36-40,Other
8a858f505c7e3a50015c81f70ee35ff5,Savings,GT Bank,Permanent,26-35,Other
8a858e3c5cac9fcc015cb09fdd925a5a,Savings,National Banks,Permanent,26-35,Other
8a858e51584a1fc70158595f611e49e6,Savings,Multinational Banks,,41-61,Other
8a858e6a5bfd4b54015c0297d9ee75fb,Savings,Multinational Banks,Permanent,41-61,Other
8a858e035693e02901569984732a33ea,Savings,Multinational Banks,Permanent,36-40,Other
8a858e105bd92644015be762bf10576f,Savings,GT Bank,Permanent,26-35,Lagos
8a8589045384bd8301539e05b3d35023,Savings,GT Bank,Other,36-40,Lagos
8a858e285aa8cfc1015aa8fd90951f5a,Other,Multinational Banks,Permanent,41-61,Other
8a858ebb5a18039b015a183953ea16cc,Savings,GT Bank,Permanent,36-40,Other
8a858e6f5668e01701567479d1ae3320,Other,Multinational Banks,Permanent,26-35,Lagos
8a858e2159f3c9030159f4336f1925f4,Savings,Multinational Banks,Permanent,41-61,Other
8a858e135cb22031015cb7f9700e06f8,Savings,Multinational Banks,,36-40,Other
8a858f54589736f401589857085e3b5b,Savings,Multinational Banks,Other,26-35,Other
8a858e475c127bce015c1a358a222097,Savings,Multinational Banks,,26-35,Lagos
8a858966538deb190153a3e3cce916e9,Other,Multinational Banks,Permanent,26-35,Lagos
8a858fcb5ca240f7015ca6656e972612,Savings,GT Bank,,36-40,Other
8a858fe45cd62cbf015ce93a8a26355d,Savings,Multinational Banks,Permanent,36-40,Other
8a858e885b68546c015b736088184034,Savings,GT Bank,Permanent,26-35,Other
8a858f935ca09667015ca0ee3bc63f51,Savings,Multinational Banks,Permanent,26-35,Other
8a858e495cef1ef1015cf16757660080,Savings,GT Bank,Permanent,36-40,Lagos
8a858e235be813f6015be923ff0d621f,Savings,GT Bank,Permanent,36-40,Lagos
8a858ea35a5b46ec015a5d1596805e48,Savings,GT Bank,Permanent,26-35,Lagos
8a858f5c5bfc7082015bfc91ab1c169b,Savings,Multinational Banks,Permanent,36-40,Lagos
8a858faf55d95d930155db6ec1274592,Other,Multinational Banks,Permanent,26-35,Lagos
8a858edf594a45ed01594bd668493b10,Savings,Multinational Banks,Permanent,36-40,Lagos
8a858fa25c120898015c16abe1cb45f4,Savings,Multinational Banks,Permanent,41-61,Other
8a858f5e5cf45779015cf47ed8db1872,Savings,GT Bank,Permanent,26-35,Other
8a858e335d1dd902015d2c79c1c6425b,Savings,Multinational Banks,Permanent,36-40,Lagos
8a858eba5c884d2a015c887b946e2236,Savings,Multinational Banks,,41-61,Other
8a858ee75afc09f4015aff3cdad86a6f,Savings,National Banks,,41-61,Lagos
8a858e425700714c015700c9da261e46,Other,GT Bank,Permanent,41-61,Lagos
8a858fb15b34a708015b37eeb86e0008,Savings,Multinational Banks,Permanent,41-61,Lagos
8a858fd75ba49873015ba4e0e0881d32,Savings,Multinational Banks,,41-61,Lagos
8a858f1f58716185015877272a5b5d18,Savings,Multinational Banks,Permanent,26-35,Other
8a858fd85b685607015b75bab2977053,Savings,GT Bank,Permanent,36-40,Lagos
8a858f8e5d0dc74e015d0de015760ef2,Savings,GT Bank,Permanent,26-35,Other
8a858ed159fabcd30159fb47c7062202,Savings,GT Bank,,41-61,Other
8a858f74584a54aa015862440ad90e4d,Savings,GT Bank,Permanent,41-61,Lagos
8a858f955a61ad4e015a669234707a25,Savings,GT Bank,Permanent,26-35,Lagos
8a858f25584470aa015852a3fee27b75,Savings,Multinational Banks,Permanent,26-35,Other
8a85889853f0fbaa0153f22d15cc4a8b,Savings,GT Bank,Permanent,41-61,Other
8a858ef258d4a48b0158dac227745fc0,Savings,GT Bank,Permanent,26-35,Other
8a858f465668e3d60156731df06205ef,Other,GT Bank,Permanent,26-35,Other
8a858e445ca25ee3015ca6262dd83aaf,Savings,National Banks,Permanent,26-35,Lagos
8a858e195b90e512015b99fbb1dc677a,Savings,GT Bank,Permanent,26-35,Other
8a858e6f5668e0170156849effb35b01,Savings,Multinational Banks,Other,41-61,Lagos
8a858f2c5ca72bae015ca8b479831073,Savings,Multinational Banks,Permanent,26-35,Other
8a858f1554e294490154f1aed36c042f,Savings,Multinational Banks,Permanent,41-61,Other
8a858e345bd96da8015bdf75f0096214,Savings,Multinational Banks,,36-40,Lagos
8a858e1d5cd58f9e015ce109b14c577e,Savings,GT Bank,,26-35,Other
8a858fc959cbd1500159cf7081f02d60,Savings,Multinational Banks,Permanent,36-40,Other
8a858f5f5a3d03ab015a3ebc0fd0071d,Savings,GT Bank,Permanent,41-61,Lagos
8a858ff455a09f5a0155aaa450751528,Other,GT Bank,Other,26-35,Lagos
8a858e495cef1ef1015cf07cc48170e6,Savings,Multinational Banks,Other,36-40,Lagos
8a858f4c5bb597f6015bc01898fd0584,Savings,GT Bank,Permanent,36-40,Lagos
8a858f0f5bfd79d2015c08e9cd6269a1,Savings,Multinational Banks,Permanent,36-40,Lagos
8a858e1b59fa11590159fa2239010639,Savings,Multinational Banks,Permanent,26-35,Lagos
8a858e3e5b3ee747015b3ee854f7012f,Savings,GT Bank,Permanent,41-61,Other
8a858faf5c5ec14b015c5efb738127a6,Savings,GT Bank,,41-61,Other
8a858ef7599330e0015993c3e1af2ecc,Savings,Multinational Banks,Permanent,41-61,Lagos
8a858ec55ca7919d015caa963ddc6e81,Savings,Multinational Banks,Permanent,41-61,Other
8a858e705b3a03c7015b3b10e6ae5eda,Savings,Multinational Banks,Permanent,36-40,Other
8a858fcd56b9f22c0156d01a97452dcb,Other,GT Bank,Permanent,26-35,Lagos
8a858fe8555f401f015567a0cca24f03,Savings,GT Bank,Other,26-35,Other
8a858f295c8d307f015c9e4f9b771eed,Savings,Multinational Banks,Permanent,36-40,Lagos
8a858ffa55ca72a50155e936d7ad5bf5,Other,Multinational Banks,Permanent,41-61,Other
8a858f4f5511dca2015516c435bf3d6a,Other,Multinational Banks,Permanent,36-40,Lagos
8a858e0758715ccc0158716bbc9704d7,Savings,National Banks,Permanent,26-35,Other
8a858ed75bc9016e015bcd6b0f6b5069,Savings,GT Bank,,41-61,Lagos
8a858e69566ae5b8015684f4642c1f37,Other,GT Bank,Other,26-35,Lagos
8a858f1b5a601b5a015a609f5b984127,Savings,Multinational Banks,Other,26-35,Other
8a858ff257048b500157048be2250029,Other,National Banks,Other,41-61,Lagos
8a858fa4552add9f01553ae253297cb7,Other,GT Bank,Permanent,26-35,Other
8a8588fd53c244bc0153c74fad72587f,Other,Multinational Banks,Other,41-61,Lagos
8a858e615c832be8015c86f0d1082a70,Savings,GT Bank,Permanent,41-61,Lagos
8a858f965bb63a25015bc22b915e62f1,Savings,Multinational Banks,Permanent,26-35,Other
8a858f225bfdb280015c0e31ce624cd8,Savings,Multinational Banks,Permanent,26-35,Other
8a858f615623747d015626ec13826718,Savings,GT Bank,Other,26-35,Lagos
8a85898a53d0af400153d7dc5cc22b9f,Savings,GT Bank,Permanent,26-35,Other
8a858fab5b9105dc015ba13ec2a57a0a,Savings,GT Bank,,36-40,Lagos
8a858f305c8dd672015c9b7a60f96231,Savings,Multinational Banks,Permanent,41-61,Other
8a858e035693e02901569484c15f3bf1,Savings,Multinational Banks,Other,41-61,Other
8a858f9d5a8a79c5015a8baaaafb7213,Savings,Multinational Banks,Permanent,36-40,Lagos
8a858e905ce98e8d015ce9cfdf3f2053,Savings,Multinational Banks,Permanent,26-35,Lagos
8a858e64586254230158665e299575fb,Savings,Multinational Banks,Permanent,26-35,Other
8a858f1b5ab8c83d015ab8c890820023,Savings,Multinational Banks,Permanent,26-35,Lagos
8a858f265c1c393e015c1e2abc1146aa,Savings,Multinational Banks,Permanent,26-35,Other
8a858fed5cabd3a0015cabd44ace0079,Savings,Multinational Banks,Permanent,36-40,Other
8a858fab5cd5e1a7015cd624bb8b1f08,Savings,Multinational Banks,Permanent,41-61,Other
8a858e7b55deef140155e587fc3b63ba,Other,GT Bank,Permanent,41-61,Lagos
8a858eda5c8863ff015c889d784b197f,Savings,Multinational Banks,Permanent,41-61,Lagos
8a858fe8555f401f01555f4a125f01ac,Savings,Multinational Banks,Permanent,26-35,Lagos
8a858e985ccb51e8015ccb62ac37072a,Savings,Multinational Banks,Permanent,41-61,Lagos
8a858ffd5c8d343d015c98e84c9c2a13,Savings,Multinational Banks,,41-61,Other
8a858eba5c884d2a015c96f9eed0608d,Savings,GT Bank,Permanent,41-61,Lagos
8a858f0b5b439ebb015b43cf463d3e39,Savings,Multinational Banks,,26-35,Other
8a858899538ddb8e01539893f3b86ee7,Other,GT Bank,Permanent,26-35,Other
8a858e245c214660015c2a00339953d3,Savings,Multinational Banks,,36-40,Other
8a858e245c214660015c2c27234403a9,Savings,Multinational Banks,Permanent,41-61,Other
8a858fa257d8223c0157d8a5a7197d2b,Other,Multinational Banks,Permanent,26-35,Other
8a8588235375c27f01537601102f108c,Other,Multinational Banks,Permanent,41-61,Lagos
8a858f98560bbe11015611ef84820b47,Savings,GT Bank,Other,41-61,Lagos
8a858f555cc65d60015cc8c9b8a84631,Savings,GT Bank,Permanent,41-61,Lagos
8a858ff45be92ea2015bebd3d5dc7770,Savings,National Banks,Permanent,36-40,Other
8a8589b7535abdb201535beac38a2006,Other,GT Bank,Permanent,41-61,Other
8a858f595ccb6f86015cced9f57a03d6,Savings,Multinational Banks,Permanent,36-40,Other
8a858f585a6a60cc015a6a8d08ab1e9e,Savings,Multinational Banks,Permanent,41-61,Other
8a858f795896e56b0158972775f12556,Savings,Multinational Banks,Permanent,26-35,Lagos
8a858edd57f790040157ffe9b6ed3fbb,Other,Multinational Banks,Permanent,26-35,Other
8a858fc55b2fde30015b300d85e20ef2,Savings,Multinational Banks,Permanent,26-35,Other
8a858eab5cf9c4c8015d0c94428b2976,Savings,Multinational Banks,,26-35,Other
8a858fa45bd95e9a015be40e410c1ad4,Savings,GT Bank,Permanent,36-40,Lagos
8a858f8d5b632706015b65e38374135f,Savings,GT Bank,Permanent,36-40,Other
8a858fa05cf48427015cf87f3c491e8b,Savings,GT Bank,Permanent,26-35,Lagos
8a858ff35acdd593015acf094819393e,Savings,GT Bank,Permanent,36-40,Other
8a85889853f0fbaa01540f0d556f0ec3,Savings,Multinational Banks,Permanent,41-61,Other
8a858f1955b1c4df0155bc7e4d2773e1,Savings,Multinational Banks,Permanent,36-40,Lagos
8a8589da5410287f01541a012bf23abb,Other,GT Bank,Other,26-35,Lagos
8a858eac5ad81473015ad8f0682934f3,Savings,Multinational Banks,,26-35,Lagos
8a858f6f5b3f095b015b420385286ad0,Savings,GT Bank,,41-61,Lagos
8a858fe7568ed7420156920bff565cc7,Savings,Multinational Banks,Other,41-61,Other
8a85892854be331a0154c7f8abdb669b,Savings,Multinational Banks,Permanent,26-35,Lagos
8a858fb959976ce001599c31ae157981,Savings,Multinational Banks,Permanent,26-35,Other
8a858ee25b34d796015b3562b4bb4ad4,Savings,Multinational Banks,Permanent,26-35,Lagos
8a858f8a5a424041015a467fa9ea3240,Savings,Multinational Banks,,36-40,Other
8a858f785cea234f015cea434e0a09e6,Savings,GT Bank,Permanent,36-40,Lagos
8a858966538deb190153a7e5cb937e06,Other,GT Bank,Permanent,36-40,Other
8a858e365c16bcef015c16d0f1a50a32,Savings,GT Bank,Permanent,41-61,Other
8a858e6956939bac015695667dc84376,Other,Multinational Banks,Permanent,26-35,Lagos
8a858eef5554890501556a2471a71e26,Other,Multinational Banks,Permanent,36-40,Lagos
8a858ee05a6b7d75015a704d99b22ed7,Savings,GT Bank,Permanent,26-35,Other
8a858f6e5cb16eb9015cba9514502da3,Savings,Multinational Banks,Permanent,36-40,Other
8a858f3e589c40610158b48a71b430d3,Savings,GT Bank,Permanent,36-40,Lagos
8a858f6a5d1e09b3015d2b9c63ee790e,Savings,Multinational Banks,Permanent,41-61,Lagos
8a858f955775750801577ba5e370562e,Other,GT Bank,Permanent,41-61,Lagos
8a858f975c4582c4015c4a3c945e2599,Savings,GT Bank,,26-35,Other
8a858fa25cfa127c015d0701d6ad4f46,Savings,Multinational Banks,,36-40,Lagos
8a8589a453bc422d0153c993db2604b6,Savings,Multinational Banks,Permanent,26-35,Other
8a858f5856373f8801563b682f941356,Other,GT Bank,Other,26-35,Lagos
8a858fbb5bf26814015bf27f571811dd,Savings,Multinational Banks,Permanent,41-61,Lagos
8a858e3e5922ba43015960f173140164,Savings,Multinational Banks,Permanent,41-61,Other
8a858f60560bc43d015612f6e11767d6,Other,Multinational Banks,Other,41-61,Lagos
8a858f9b5a42e52f015a45ea99c56a99,Savings,Multinational Banks,Other,26-35,Other
8a858e42570314e00157062a120e6345,Other,GT Bank,Other,36-40,Lagos
8a85887d53675f4f015379a44783264e,Other,Multinational Banks,Permanent,41-61,Lagos
8a858fa459e0a1340159e1f07d045910,Savings,Multinational Banks,Permanent,36-40,Lagos
8a858f6057e2dba50157edb735e75aaf,Other,Multinational Banks,Permanent,26-35,Other
8a858ff85bd93919015be27b9f421e8b,Savings,GT Bank,,36-40,Lagos
8a858f365c83961c015c87a053cb5b39,Savings,Multinational Banks,Permanent,41-61,Other
8a858f3a58a6d6720158b0d75ed070f2,Savings,Multinational Banks,Other,36-40,Lagos
8a858fdb5b8094e2015b80ac5cd70f9f,Savings,Multinational Banks,Permanent,26-35,Other
8a858e6f5668e01701568175112b2522,Savings,National Banks,Other,36-40,Lagos
8a858e1e54e2aa5a0154e7e0494068e1,Savings,National Banks,Other,26-35,Lagos
8a858ec75bfd77c4015bff1610173ed1,Savings,Multinational Banks,,41-61,Lagos
