customerid;birthdate;EDAD;bank_account_type;longitude_gps;latitude_gps;Columna2;bank_name_clients;bank_branch_clients;employment_status_clients;level_of_education_clients
8a858e735b86c5e6015b86ca110b0353;24/09/1988;34;Savings;32.905.898;66.651;;GT Bank;;Permanent;
8a858e655a047d1a015a17be58262943;23/06/1979;43;Savings;66.948.411;121.759.277;;EcoBank;;Permanent;
8a858fcf5591c5cf015597c298cb15d9;10/10/1981;41;Other;33.563.968;6.622.773;;GT Bank;;Self-Employed;
8a858f285b14dddb015b14f3be5e0e9f;31/03/1984;38;Savings;39.723.914;73.909.755;;Heritage Bank;;Permanent;
8a858eac5ad81473015adb5e13740d62;31/05/1985;37;Savings;33.434.568;65.717.364;;GT Bank;;Permanent;
8a8589b953bc23f70153cf2e6d442c45;09/08/1986;36;Other;70.100.538;49.098.517;;First Bank;;Self-Employed;Secondary
8a858eb95a8f9e4c015a91f3f9dc6d7a;01/01/1990;32;Savings;8.621.071;77.654.111;;Access Bank;;;
8a858f1554e294490154e2f7ce342b18;24/04/1981;41;Savings;32.566.133;65.205.717;;GT Bank;HEAD OFFICE;Permanent;Graduate
8a858e5856b7840c0156c289b8584f4c;04/06/1980;42;Savings;33.826.333;6.581.792;;First Bank;;Permanent;Graduate
8a858f3b5c1c5a08015c1c6897ac062b;11/07/1987;35;Savings;33.529.033;65.290.479;;First Bank;;Permanent;
8a85884e548fad6501549e6d40590168;22/12/1986;36;Savings;33.538.832;64.825.234;;First Bank;;Permanent;Graduate
8a858e755c118bd7015c11bc925a17a2;10/09/1995;27;Savings;39.357.372;74.294.694;;GT Bank;;Permanent;
8a858e5555780ea001557c358eac1a2c;15/02/1975;47;Savings;32.195.112;65.300.945;;First Bank;;Student;
8a85886e54beabf90154c3f2f2ba3e59;16/09/1972;50;Savings;33.261.134;6.656.784;;First Bank;;Permanent;
8a858e885c63d379015c686565a0408f;05/04/1987;35;Savings;82.533.378;48.022.816;;UBA;;Permanent;
8a858ee755a0c84a0155bf1b6a02583e;14/09/1983;39;Savings;70.319.167;47.352.933;;UBA;;Permanent;
8a858e615c832be8015c84b0c149554a;24/01/1995;27;Savings;45.205.367;75.000.308;;First Bank;;Permanent;
8a858f2c58dc6e680158dd8af7761f24;02/05/1983;39;Savings;32.849.384;64.688.935;;GT Bank;;Permanent;
8a858f665c45930d015c490f9e137383;27/01/1979;43;Savings;45.565.667;77.841.433;;Skye Bank;;Permanent;
8a858edf57f78fed0157fdd279342ccf;05/04/1984;38;Other;39.008.032;74.172.881;;GT Bank;;Permanent;
8a858fe758dc437a0159018589dc5df0;11/04/1989;33;Savings;39.505.415;74.417.655;;Access Bank;;Permanent;
8a858f2d5853901a01585c79a6021b8f;21/10/1977;45;Savings;33.067.538;65.114.472;;GT Bank;APAPA 1 COMMERCIAL ROAD;Permanent;Graduate
8a8588235375c27f015376d27f982c9e;18/01/1985;37;Other;38.532.417;647.993;;Skye Bank;;Self-Employed;Graduate
8a858eac5ad81473015ada3690354aac;21/01/1984;38;Savings;45.271.533;751.417;;GT Bank;;Permanent;
8a858f125c5f88b1015c62b300050e57;09/10/1986;36;Savings;33.607.768;66.179.418;;GT Bank;;;
8a858fe8555f401f01556122503615c1;25/04/1985;37;Other;56.211.029;63.104.157;;GT Bank;;Self-Employed;Graduate
8a85893d542e18bc0154379710d6562c;21/05/1976;46;Other;74.261.366;10.463.302;;First Bank;;Permanent;Post-Graduate
8a858e475c127bce015c16667af86900;14/10/1986;36;Savings;52.162.295;7.239.066;;Diamond Bank;;Permanent;
8a858f2f54e28d530155102a418b6307;31/12/1984;38;Other;3.552.375;66.174.033;;Diamond Bank;;Permanent;Graduate
8a858ee55cb156e6015cc0454bef7c77;30/04/1979;43;Savings;57.608.183;5.541.765;;GT Bank;;Permanent;
8a858e505ad27570015ad3a536d46c46;08/06/1984;38;Savings;45.678.744;84.692.736;;EcoBank;;Permanent;
8a858f0056b7cf8e0156b8918d424613;27/10/1993;29;Other;3.495.134;66.530.291;;GT Bank;;Permanent;
8a858e0b5cfa2028015d034211a96a52;08/01/1989;33;Savings;74.018.074;91.226.869;;First Bank;;;
8a858e655a047d1a015a0daaf9874735;30/03/1981;41;Savings;39.325.431;68.373.759;;Stanbic IBTC;;Permanent;
8a858e705b3a03c7015b3ceed0d531fb;25/07/1992;30;Savings;75.348.317;89.292.667;;First Bank;;;
8a858fde56eb02280156fb85a2521990;21/04/1982;40;Other;33.500.692;65.024.401;;Skye Bank;;Self-Employed;Graduate
8a858e645591c24b01559c74651d5f0e;14/05/1979;43;Other;32.165.137;67.225.561;;Diamond Bank;;Permanent;Graduate
8a858e6c5b5bd8ac015b5c0357581aef;01/07/1991;31;Savings;33.428.271;71.261.046;;Access Bank;;Permanent;
8a858fe45a760203015a7f3dd68d6282;31/03/1978;44;Savings;69.997.419;5.510.274;;GT Bank;;Permanent;
8a858fa95c695f85015c698efbf11b7e;20/08/1983;39;Savings;32.928.083;70.698.567;;First Bank;;;
8a858e785c8d9167015c9c4faa701884;13/09/1986;36;Savings;34.213.329;64.305.476;;Access Bank;;Permanent;
8a858e785a53f8a6015a561b1aaf1610;29/04/1991;31;Savings;38.887.036;73.419.747;;GT Bank;;Permanent;
8a858ef358d4a48e0158ee3dafd51a43;27/02/1981;41;Savings;34.487.598;64.515.897;;Zenith Bank;;Permanent;
8a85893d53e2e2f30153f00df3e33622;18/12/1971;51;Other;33.207.253;66.578.901;;GT Bank;;Self-Employed;
8a858f045556eaa4015568356b2d414c;06/07/1989;33;Savings;34.967.132;64.326.192;;Fidelity Bank;;Permanent;Graduate
8a858f295c829b43015c82d057832585;07/11/1979;43;Savings;38.254.059;73.631.476;;GT Bank;;Permanent;
8a858f6f5b3f095b015b40f2cd163744;26/08/1984;38;Savings;52.199.796;76.138.139;;GT Bank;;Permanent;
8a858f54589736f40158a9a0f1204927;01/07/1988;34;Savings;67.484.734;61.917.614;;Zenith Bank;;Permanent;
8a858e8d5d41c5fd015d45762a6400db;23/04/1991;31;Savings;34.234.848;64.444.244;;GT Bank;;Permanent;
8a858eb95b3ed48c015b3f2be5056fcd;15/09/1978;44;Savings;74.261.366;105.365.975;;UBA;;;
8a858ff35c1ada43015c1ae99d830a0b;13/12/1977;45;Savings;30.513.419;64.859.472;;First Bank;;;
8a858ff45be92ea2015be98bc2162c96;21/12/1985;37;Savings;52.075.846;72.576.158;;Skye Bank;;Permanent;
8a858f6e5cb16eb9015cc423ee197af6;04/09/1991;31;Savings;88.557.459;98.642.863;;Access Bank;;Permanent;
8a858f615591c2cc0155965e44ff3633;30/07/1983;39;Savings;34.279.395;64.512.306;;FCMB;;Permanent;Secondary
8a858e9b5bcf8546015bcfaf5b680756;20/07/1984;38;Savings;3.585.785;660.072;;First Bank;;;
8a858ede5ca210f0015ca65c957e7a59;31/08/1994;28;Savings;45.103.248;85.091.793;;GT Bank;;Permanent;
8a858e875b910dfe015b9b598dfc49c5;14/06/1983;39;Savings;57.407.056;55.165.851;;First Bank;;Permanent;
8a85893d53f104eb0154054115f12c61;31/03/1983;39;Savings;74.133.037;90.791.329;;GT Bank;;Self-Employed;Graduate
8a858eef5554890501556dcff6f9065f;03/11/1983;39;Savings;34.323.256;64.357.123;;Diamond Bank;;Permanent;Graduate
8a858f40577642af01577a506291185a;25/04/1991;31;Other;73.741.097;51.078.417;;EcoBank;;Student;Graduate
8a85892854be331a0154c901e52e390a;23/11/1983;39;Other;3.402.969;65.505.023;;Diamond Bank;;Permanent;Post-Graduate
8a8589a754386216015438a93cd229e8;10/12/1985;37;Other;-154.215.079;281.164.173;;GT Bank;;Permanent;
8a858f9d5668e3f101566a6e9722794c;04/12/1993;29;Savings;45.326.233;7.486.115;;GT Bank;;Self-Employed;
8a8589c253ace09b0153af6ba58f1f31;05/09/1981;41;Savings;3.227.945;65.866.683;;UBA;;Permanent;
8a858ed65bd3a65c015bd3e9a0ff2664;03/09/1982;40;Savings;34.387.349;64.249.841;;GT Bank;;Permanent;
8a858f0f5bfd79d2015c029412b86494;30/08/1978;44;Savings;69.832.169;48.183.915;;Stanbic IBTC;;Permanent;
8a858f00590ac4e70159170bde1b1880;04/05/1989;33;Savings;32.516.783.333.333.300;6.526.190.000.000.000;;First Bank;;Student;
8a858f8d5c82ba66015c8316bc8a3607;30/09/1986;36;Savings;38.758.961;73.463.902;;First Bank;;Permanent;
8a858f315ccb979d015ccfdb46730c21;08/02/1984;38;Savings;72.444.997;91.161.845;;Zenith Bank;;Permanent;
8a858fa25a84fe3b015a852ea1d02175;15/07/1982;40;Savings;33.412.529;64.812.047;;GT Bank;;Permanent;
8a858f7958b0a4a80158b47fb32010f3;25/12/1991;31;Savings;60.028.123;90.602.008;;GT Bank;;Student;
8a858e69566ae5b801566ff083790265;24/09/1982;40;Other;-1.490.336.998;-83.484.925;;EcoBank;;Permanent;
8a858e4854d4be9d0154e1713f106e06;10/12/1983;39;Other;32.783.787;65.792.528;;GT Bank;;Permanent;Post-Graduate
8a858e7e5c7cff8b015c7d339f151aaa;18/09/1974;48;Savings;4.600.013;85.067.382;;UBA;;;
8a858ea45bd88d04015bd89004950162;15/01/1981;41;Savings;3.637.302;66.698.989;;First Bank;;Permanent;
8a858ff45be92ea2015be98c51742d1f;19/09/1986;36;Savings;33.718.018;65.059.569;;EcoBank;;;
8a858f34588713c201588c59c04b04cd;15/08/1985;37;Savings;33.406.232;66.374.153;;UBA;;;
8a858fdc5b583a67015b583f3b8a0552;18/08/1991;31;Savings;69.343.567;60.160.283;;GT Bank;;Permanent;
8a858e9f59d692440159da7307f4464e;14/08/1986;36;Savings;70.616.456;48.529.067;;UBA;;Unemployed;
8a858f1554e29449015500deb58f1653;24/04/1976;46;Other;73.582.392;92.823.975;;Zenith Bank;;Permanent;Secondary
8a858eab5cf9c4c8015cfa60fae235fd;21/11/1980;42;Savings;32.899.607;65.710.894;;Sterling Bank;;;
8a858e955631db4401563ca4a4b03287;06/05/1993;29;Other;33.359.009;65.191.737;;Zenith Bank;;Self-Employed;
8a858e17562dc2270156312c4a755edc;29/01/1985;37;Other;70.097.067;48.054.233;;Stanbic IBTC;;Self-Employed;
8a858fe35cd0edad015cd3df1c295c30;03/04/1979;43;Savings;40.499.999;73.725.964;;UBA;;Permanent;
8a858f25584470aa01584da2a1db5663;13/07/1988;34;Savings;34.245.097;64.350.478;;GT Bank;;Permanent;Secondary
8a858fbd5cd6054a015ce4de9d8a4c5a;29/09/1988;34;Savings;39.201.642;74.485.879;;Access Bank;;Permanent;
8a858fd85b685607015b6cf937f232be;13/04/1987;35;Savings;35.547.361;64.339.023;;GT Bank;;Permanent;
8a858e435bedeb4f015beefb8a294d30;20/03/1990;32;Savings;98.342.914;103.340.766;;Diamond Bank;;Permanent;
8a858fa25bd92c20015be50d818f1890;25/09/1987;35;Savings;66.513.229;50.770.647;;Stanbic IBTC;;Permanent;
8a858fb557330de10157394d041943fb;05/09/1976;46;Other;61.019.814;49.787.989;;Diamond Bank;;Permanent;Graduate
8a858e5b5bd99460015bdf715c7c3f80;17/07/1988;34;Savings;39.384.704;68.283.842;;GT Bank;;Permanent;
8a858fc959cbd1500159cd3bbcf57a04;01/04/1988;34;Savings;35.071.279;66.118.494;;Access Bank;;Permanent;
8a858fa45bd95e9a015be29a6b136061;10/10/1979;43;Savings;87.654.994;99.226.476;;First Bank;;Permanent;
8a858f725b49c0c0015b4f7c165e4827;21/09/1986;36;Savings;7.193.002;91.437.099;;First Bank;;;
8a858ee758b4c54a0158b7b47c784cda;27/08/1993;29;Savings;38.828.803;73.844.556;;Diamond Bank;;Student;
8a858fd45a4260bc015a461db91a3615;01/08/1985;37;Savings;337.073.457;653.429.347;;Access Bank;;Permanent;
8a858ee55c830000015c8307702b03dc;14/03/1996;26;Savings;53.368.854;7.801.719;;GT Bank;;Unemployed;
8a858f4c5bb597f6015bc3cc1fbb7104;30/06/1989;33;Savings;83.452.951;5.032.485;;UBA;;Permanent;
8a858f6055f96ad2015604e2b0530828;18/09/1985;37;Other;39.440.125;74.205.479;;First Bank;;Self-Employed;
8a858e9156e137c6015705964f291996;27/07/1978;44;Savings;32.358.947;65.331.383;;EcoBank;;Self-Employed;Graduate
8a858fa3586d20e001586d8ef15428c1;28/09/1985;37;Savings;33.895.159;64.513.615;;FCMB;;Permanent;
8a858fad5bf85d5e015bfb734316090f;19/07/1985;37;Savings;32.447.056;65.254.907;;Access Bank;;;
8a858f0d58a18ebc0158b0ec239828b8;29/08/1984;38;Current;33.765.684;65.090.802;;GT Bank;;Permanent;
8a858e885c87dee5015c881f237f214b;19/04/1973;49;Savings;32.406.074;64.485.941;;Zenith Bank;;;
8a858ece5b0142e3015b0a3a7f183339;11/02/1982;40;Savings;33.571.693;64.944.359;;Zenith Bank;;Permanent;
8a858f305c8dd672015c9b6de9735c21;03/12/1993;29;Savings;25.311.323;6.369.047;;EcoBank;;Student;
8a858ec75bfd77c4015bfda14bd40a20;09/04/1986;36;Savings;33.417.132;65.617.533;;UBA;;;
8a858f9e5a41dfd7015a41f7b0ae1759;31/10/1983;39;Savings;32.956.223;65.737.176;;Access Bank;;Permanent;
8a858f225b3dc49e015b3de052f52204;05/08/1985;37;Savings;77.152.297;111.213.428;;GT Bank;;Permanent;
8a858fda5c3b0f1c015c403b1f5c301c;25/08/1971;51;Savings;34.751.271;66.671.021;;First Bank;;;
8a858f985bee01cb015bf160e3ef4c1d;05/08/1981;41;Savings;74.079.901;91.147.491;;Stanbic IBTC;;Permanent;
8a858fe95c88ee44015c8c4043291900;11/02/1985;37;Savings;92.428.467;78.183.483;;Access Bank;;Permanent;
8a858e645afb8f74015afbd64d8b2f9c;19/11/1981;41;Savings;3.182.516;66.728.119;;EcoBank;;Permanent;
8a858f735922163501592c4f0de93a51;22/12/1987;35;Savings;39.258.717;75.156.067;;GT Bank;;;
8a858e1158dc4d830159015170547d02;21/09/1980;42;Savings;33.419.122;6.667.769;;Diamond Bank;;Permanent;
8a858fc959bb192f0159bb26fbe70c82;17/08/1974;48;Savings;33.976.301;64.492.496;;GT Bank;;Permanent;
8a858f9f5bd99987015be23abcfc07f2;24/08/1972;50;Savings;60.277.234;90.805.874;;Skye Bank;;Permanent;
8a858f98560bbe110156218cd2a94514;02/05/1993;29;Other;3.264.492;65.342.865;;Fidelity Bank;;Permanent;Graduate
8a858e655a047d1a015a047d7ad40067;13/06/1974;48;Savings;33.154.428;65.282.957;;Access Bank;;;
8a858e9156e137c601570163db4358c9;27/04/1980;42;Savings;57.561.504;74.479.881;;GT Bank;;Permanent;
8a858eff55a090650155a13892552a0b;09/03/1986;36;Savings;57.673.454;69.371.393;;GT Bank;;Permanent;
8a858e8d5d41c5fd015d421a1e762278;19/09/1992;30;Savings;33.525.884;714.754;;GT Bank;;Permanent;
8a858e0256b781d80156c19fddb831ee;10/09/1988;34;Other;34.193.059;64.618.269;;GT Bank;;Permanent;
8a858e8e5ca1f1a8015ca6a8cfcb31f4;26/08/1987;35;Savings;38.798.388;73.867.693;;First Bank;;;
8a858f6b570f2de901572981cca506b5;25/09/1978;44;Other;33.459.322;65.987.991;;GT Bank;;Permanent;
8a858f6e5cb16eb9015cb56eb47d0a02;25/12/1983;39;Savings;3.852.421;73.314.344;;GT Bank;;Permanent;
8a858fa55776f0470157799aa4b33da8;23/02/1990;32;Other;39.238.294;78.298.594;;GT Bank;;Student;
8a858e715bd3fa19015bd407028c0450;01/10/1970;52;Savings;34.793.955;64.310.588;;Zenith Bank;;Permanent;
8a858e4f58b9f0b40158d31e17fc2a7e;20/03/1994;28;Savings;70.855.167;83.891.633;;First Bank;;;
8a858eba5b681df4015b6d5c3c7b59b3;26/09/1987;35;Savings;45.577.069;84.660.241;;GT Bank;;Permanent;
8a858f5b5bee1b11015bf1b4ffea5abb;13/05/1989;33;Savings;33.716.191;66.051.041;;GT Bank;;Permanent;
8a858ef4598857710159898caf3b44f8;10/05/1978;44;Savings;73.785;89.721.981;;Zenith Bank;;Permanent;
8a858fe8555f401f01556dbd487e78d5;06/07/1979;43;Other;74.419.912;105.309.121;;GT Bank;;Permanent;Graduate
8a858fbc5cc666c8015cc96695e50338;21/05/1987;35;Savings;56.907.767;58.877.017;;Access Bank;;;
8a858ec358dc5c130158e4df91a874b9;10/02/1992;30;Savings;31.743.574;64.902.557;;GT Bank;;;
8a858ee75afc09f4015b003afc7010b1;15/07/1981;41;Savings;337.523;6.638.586.666.666.660;;Skye Bank;;;
8a85893d53f104eb015400808d86752b;12/10/1993;29;Savings;33.434.135;66.079.932;;GT Bank;;Permanent;
8a858fc75cd62882015ce3af160470f5;23/08/1984;38;Savings;33.865.259;6.525.006;;Zenith Bank;;Permanent;
8a858ffd5caca417015cacdb354a2364;08/09/1993;29;Savings;34.179.771;64.411.578;;GT Bank;;Permanent;
8a858f165af6a783015af6d939671ccc;25/03/1966;56;Savings;73.258.345;91.630.449;;Diamond Bank;;;
8a858f3c5c16cadb015c171ebcfb30b6;02/12/1982;40;Savings;69.668.239;48.141.037;;GT Bank;;Permanent;
8a858ee0560bc0770156196630ee2e35;14/12/1993;29;Other;32.072.081;66.153.535;;GT Bank;;Self-Employed;
8a858e705668e167015669c8cc67271a;06/12/1993;29;Other;33.755.415;64.815.863;;FCMB;;Permanent;
8a858e6059e0a7080159eaed2c724220;09/06/1992;30;Savings;31.960.122;65.067.597;;GT Bank;;Permanent;
8a858ec95afc0922015affaaf5992c1a;06/08/1967;55;Savings;73.507.889;91.563.868;;EcoBank;;Permanent;
8a858f2f5af5d835015af5db88300242;01/07/1982;40;Savings;34.228.638;64.414.262;;First Bank;;Permanent;
8a858e245b680423015b70e6d3300586;01/01/1985;37;Savings;32.836.709;66.821.633;;GT Bank;;Permanent;
8a858fb4563228d201563d09846204bd;25/03/1981;41;Other;33.073.069;66.481.764;;GT Bank;;Permanent;
8a858ebd5b254c8b015b2f8ebbc96477;05/04/1983;39;Savings;35.226.494;64.561.551;;Access Bank;;;
8a858e705b3a03c7015b3c16c087774f;28/07/1987;35;Savings;33.826.227;64.831.375;;UBA;;Permanent;
8a858f305c8dd672015c970cc60d3014;18/05/1993;29;Savings;81.071.533;62.625.499;;First Bank;;Permanent;
8a858ea8580b1fee015814d9ce7f41ec;08/04/1993;29;Other;33.170.162;71.612.409;;FCMB;;Permanent;Graduate
8a858f905c06a9c0015c06db624d043e;10/07/1975;47;Current;33.182.768;66.564.122;;GT Bank;;Permanent;
8a858f6f5b3f095b015b42c2106b08a5;22/10/1986;36;Savings;33.423.431;65.256.743;;GT Bank;;;
8a858e0156b782a10156dfbdd6a1331c;13/03/1968;54;Savings;5.710.165;55.934.783;;First Bank;;Self-Employed;
8a858f08582a51bc01582a7123560822;27/06/1972;50;Savings;34.379.918;68.181.303;;Zenith Bank;;Self-Employed;Graduate
8a858ed45c454c11015c53de37e71789;13/03/1992;30;Savings;45.123.355;84.533.715;;EcoBank;;Permanent;
8a858f4c5bd8c7b2015bd902087b273c;07/11/1980;42;Savings;33.361.672;66.162.374;;GT Bank;;Permanent;
8a858ecd5b81e1a6015b823c01ee2725;22/12/1978;44;Savings;33.875.503;65.301.637;;Access Bank;;;
8a858ff257048b5001570c67315b660b;09/01/1988;34;Other;32.771.452;64.758.838;;EcoBank;;Unemployed;
8a858fab5cd5e1a7015cdbcb4ba75d93;29/03/1988;34;Savings;89.994.511;73.261.859;;EcoBank;;Permanent;
8a858fb45bb59c21015bba2f3ffe197d;24/09/1985;37;Savings;7.394.818;91.262.599;;Fidelity Bank;;Permanent;
8a858e515b38f839015b39083e321384;20/02/1991;31;Savings;33.508.252;66.042.655;;GT Bank;;Permanent;
8a858e8e58f6d66f015904a859fd5589;23/03/1989;33;Savings;337.268;6.563.738;;Stanbic IBTC;;Permanent;
8a858e345bd96da8015be3d7c0894a31;16/03/1987;35;Savings;33.620.333;65.501.608;;GT Bank;;Permanent;
8a858e135cb22031015cbb1fe09555f4;23/10/1990;32;Savings;34.118.275;67.747.949;;UBA;;Permanent;
